"SIGNOR ID";"COMPLEX NAME";"LIST OF ENTITIES"
SIGNOR-C1;NFY;"P23511,  P25208,  Q13952"
SIGNOR-C2;mTORC2;"Q9BVC4,  P68104,  Q6R327,  Q8TB45,  P85299"
SIGNOR-C3;mTORC1;"Q96B36,  Q9BVC4,  Q8TB45,  P42345,  Q8N122"
SIGNOR-C5;SCF-betaTRCP;"Q13616,  Q9Y297,  P63208"
SIGNOR-C6;CBP/p300;"Q09472,  Q92793"
SIGNOR-C7;P300/PCAF;"Q92793,  Q92831,  Q09472"
SIGNOR-C8;SMAD2/SMAD4;"Q15796,  Q13485"
SIGNOR-C9;SMAD3/SMAD4;"P84022,  Q13485"
SIGNOR-C10;SMAD4/JUN;"P05412,  Q13485"
SIGNOR-C11;SMAD2/SMURF2;"Q9HAU4,  Q15796"
SIGNOR-C12;SMAD7/HDAC1/E2F-1;"Q01094,  Q13547,  O15105"
SIGNOR-C13;NfKb-p65/p50;"Q04206,  P19838"
SIGNOR-C14;IKK-complex;"O14920,  O15111"
SIGNOR-C15;AMPK;"O43741,  P54619,  P54646,  Q9UGI9,  Q13131,  Q9Y478,  Q9UGJ0"
SIGNOR-C16;CyclinE/CDK2;"O96020,  P24941"
SIGNOR-C17;CyclinB/CDK1;"P14635,  P06493"
SIGNOR-C18;CyclinD/CDK4;"P24385,  P11802"
SIGNOR-C19;HMT;"P61964,  Q9UBL3,  O14686"
SIGNOR-C21;CDON/SPAG9;"Q4KMG0,  O60271"
SIGNOR-C22;CDO/JLP/P38;"O60271,  Q4KMG0,  SIGNOR-PF14"
SIGNOR-C23;TAF3/TRF3;"Q6SJ96,  Q5VWG9"
SIGNOR-C24;"DCX DET1-COP1";"Q16531,  Q8NHY2,  Q7L5Y6,  P62877,  Q13619"
SIGNOR-C25;NKX3-1/SRF;"P11831,  Q99801"
SIGNOR-C26;LAMTOR;"Q9Y2Q5,  O43504,  Q6IAA8,  Q0VGL1,  Q9UHA4"
SIGNOR-C27;AMOT/MPP5/INADL/LIN7C;"Q9NUP9,  Q8N3R9,  Q8NI35"
SIGNOR-C29;BMPR1A/1B/2;"Q13873,  O00238,  P36894"
SIGNOR-C30;ACVR1/BMPR2;"Q13873,  Q04771"
SIGNOR-C32;RISC(DICER1/AGO2/TARBP2);"Q9UPY3,  Q15633,  Q9UKV8"
SIGNOR-C33;CDX2/PAX6/P300;"Q09472,  Q99626,  P26367"
SIGNOR-C34;"RNA helicases p68/p72";"Q92841,  P17844"
SIGNOR-C37;CDK12/CCNK;"O75909,  Q9NYV4"
SIGNOR-C38;CDK13/CCNK;"O75909,  Q14004"
SIGNOR-C39;DDB2/DDB1;"Q16531,  Q92466"
SIGNOR-C40;DDX5/DDX17;"Q92841,  P17844"
SIGNOR-C41;DICER1/hAgo2/PRKRA;"Q9UPY3,  Q9UKV8,  O75569"
SIGNOR-C42;DNMT1/DNMT3A;"P26358,  Q9Y6K1"
SIGNOR-C43;DNMT1/DNMT3B;"Q9UBC3,  P26358"
SIGNOR-C44;EIF4A2/EIF4E/EIF4G1;"Q14240,  Q04637,  P06730"
SIGNOR-C47;ELF4/RUNX1;"Q99607,  Q01196"
SIGNOR-C48;ELL/ICE1;"P55199,  Q9Y2F5"
SIGNOR-C49;ELL/ICE2;"Q659A1,  P55199"
SIGNOR-C50;ERCC4/ERCC1;"P07992,  Q92889"
SIGNOR-C51;EXT1/EXT2;"Q16394,  Q93063"
SIGNOR-C52;FGFR1OP/CEP350;"Q5VT06,  O95684"
SIGNOR-C53;FIP1L1/CPSF1;"Q6UN15,  Q10570"
SIGNOR-C54;KAT6A/KAT6B;"Q8WYB5,  Q92794"
SIGNOR-C55;KAT6A/PML;"Q92794,  P29590"
SIGNOR-C56;KCNJ5/KCNJ3;"P48549,  P48544"
SIGNOR-C57;KMT2A/WDR5;"P61964,  Q03164"
SIGNOR-C58;MLH1/PMS1;"P54277,  P40692"
SIGNOR-C59;MLH1/PMS2;"P54278,  P40692"
SIGNOR-C60;MSH2/MSH6;"P43246,  P52701"
SIGNOR-C61;MSN/PDZD8;"Q8NEN9,  P26038"
SIGNOR-C62;NONO/SFPQ;"P23246,  Q15233"
SIGNOR-C64;POT1/ACD;"Q9NUX5,  Q96AP0"
SIGNOR-C65;RAD51B/RAD51C;"O43502,  O15315"
SIGNOR-C67;RBM15/NXF1;"Q96T37,  Q9UBU9"
SIGNOR-C68;REL/RELA;"Q04206,  Q04864"
SIGNOR-C69;SDHA/SDHB;"P21912,  P31040"
SIGNOR-C70;SDHC/SDHD;"Q99643,  O14521"
SIGNOR-C71;SEPT6/SEPT2;"Q14141,  Q15019"
SIGNOR-C72;SEPT6/SEPT7;"Q14141,  Q16181"
SIGNOR-C73;SOX2/POU5F1;"P48431,  Q01860"
SIGNOR-C74;SP1/STAT3;"P40763,  P08047"
SIGNOR-C75;SS18/MLLT10;"Q15532,  P55197"
SIGNOR-C76;SUZ12/EED;"Q15022,  O75530"
SIGNOR-C77;SUZ12/EZH2;"Q15910,  Q15022"
SIGNOR-C78;U2AF1/U2AF2;"P26368,  Q01081"
SIGNOR-C80;ZBTB16/ZBTB32;"Q9Y2Y4,  Q05516"
SIGNOR-C81;ZRSR2/U2AF2;"Q15696,  P26368"
SIGNOR-C83;CyclinA2/CDK2;"P24941,  P20248"
SIGNOR-C84;NR3C1/STAT5A;"P04150,  P42229"
SIGNOR-C85;SMAD1/4;"Q13485,  Q15797"
SIGNOR-C86;SMAD3/JUN;"P05412,  P84022"
SIGNOR-C87;"MLL/SET subcomplex";"P61964,  Q9UBL3,  Q9C005,  Q15291"
SIGNOR-C88;"MLL2 complex";"SIGNOR-C87,  O14686"
SIGNOR-C89;"MLL1 complex";"SIGNOR-C87,  Q03164"
SIGNOR-C90;"PAX7/MLL1 complex";"SIGNOR-C89,  P23759"
SIGNOR-C91;"PAX7/MLL2 complex";"SIGNOR-C88,  P23759"
SIGNOR-C92;"SWI/SNF complex";"O14497,  P51532,  Q68CP9,  Q12824,  Q92922,  O96019,  Q969G3,  Q8NFD5,  Q96GM5,  Q8TAQ2"
SIGNOR-C93;"MYOD1/SWI/SNF complex";"P15172,  SIGNOR-C92,  P40424"
SIGNOR-C94;"Myog/SWI/SNF complex";"P15173,  Q14814,  SIGNOR-C92"
SIGNOR-C95;CDON/BOC/PTCH1;"Q13635,  Q4KMG0,  Q9BWV1"
SIGNOR-C96;BAK/BAX;"Q16611,  Q07812"
SIGNOR-C97;RBPJ/NOTCH;"P46531,  Q06330,  SIGNOR-PF30"
SIGNOR-C98;g-secretase;"Q9NZ42,  Q92542,  Q96BI3,  P49768"
SIGNOR-C100;ULK1/Atg13/Fip200;"O75385,  O75143,  Q8TDY2"
SIGNOR-C101;TSC1/TSC2;"P49815,  Q92574"
SIGNOR-C102;SUZ12/EZH2/YY1;"SIGNOR-C77,  P25490"
SIGNOR-C103;"NLI/Lmx1.1/Isl1 ";"P61371,  Q8TE12,  Q9GZU7"
SIGNOR-C104;"RFX complex";"O14593,  P48382,  O00287"
SIGNOR-C105;"CoREST-HDAC complex";"Q9UKL0,  Q13547,  O75362,  Q92769,  O60341"
SIGNOR-C106;"LMX1B/SFPQ/PSPC1 complex";"O60663,  P23246,  Q8WXF1"
SIGNOR-C107;Ku70/Ku80/DNA-PK;"P78527,  P12956,  P13010"
SIGNOR-C108;"NC2 complex";"Q14919,  Q01658"
SIGNOR-C109;ATG12/5/16L1;"Q9H1Y0,  Q676U5,  O94817"
SIGNOR-C110;GSK3B/Axin/APC;"P49841,  O15169,  P25054"
SIGNOR-C111;REST-CoREST;"Q13127,  Q9UKL0"
SIGNOR-C112;PARD6/SMURF1;"Q9HCE7,  Q9NPB6"
SIGNOR-C113;RAGAC;"Q9HB90,  Q7L523"
SIGNOR-C114;RAGAD;"Q7L523,  Q9NQL2"
SIGNOR-C115;RAGBC;"Q5VZM2,  Q9HB90"
SIGNOR-C116;RAGBD;"Q5VZM2,  Q9NQL2"
SIGNOR-C117;"AEP complex";"Q9UHB7,  P51825,  Q03111,  P50750,  O60563"
SIGNOR-C118;STAT1/STAT3;"P42224,  P40763"
SIGNOR-C119;CRL4(CRBN);"P62877,  Q96SW2,  Q13619,  Q16531"
SIGNOR-C120;JAK1/STAT1/STAT3;"P40763,  P23458,  P42224"
SIGNOR-C121;PKCtheta/Nfix;"Q04759,  Q14938"
SIGNOR-C122;Six1/Dach;"Q15475,  Q9UI36"
SIGNOR-C123;"MTA1/DJ1 complex ";"Q13330,  Q99497"
SIGNOR-C124;"ISGF3 complex";"P42224,  Q00978,  P52630"
SIGNOR-C125;AHR-ARNT;"P27540,  P35869"
SIGNOR-C126;"a7/b1 integrin";"Q13683,  P05556"
SIGNOR-C127;MYOD/E12E47;"P15172,  P15923"
SIGNOR-C128;MYOD/HEB;"P15172,  Q99081"
SIGNOR-C129;MYOD/E2-2;"P15884,  P15172"
SIGNOR-C130;PRC2;"O75530,  Q15022,  Q09028,  Q6ZN18,  Q15910"
SIGNOR-C131;NAE;"Q13564,  Q8TBC4"
SIGNOR-C132;"PP2Ca_R1A_Ba  ";"P63151,  P30153,  P67775"
SIGNOR-C133;"PP2Ca_R1A_Bd  ";"Q00005,  P67775,  P30153"
SIGNOR-C134;PP2Ca_R1A_Bd;"P30153,  P67775,  Q14738"
SIGNOR-C135;SCF-FBW7;"Q969H0,  P63208,  Q13616"
SIGNOR-C136;SCF-SKP2;"P63208,  Q13309,  Q13616"
SIGNOR-C137;GUCY1A2-B2;"O75343,  P33402"
SIGNOR-C138;GUCY1A2-B3;"Q02153,  P33402"
SIGNOR-C139;GUCY1A3-B2;"Q02108,  O75343"
SIGNOR-C140;GUCY1A3-B3;"Q02108,  Q02153"
SIGNOR-C142;IFNGR2/INFGR1;"P38484,  P15260"
SIGNOR-C143;CDK6/CCND1;"Q00534,  P24385"
SIGNOR-C144;CDK5/CDK5R1;"Q15078,  Q00535"
SIGNOR-C147;MRE11/RAD50/NBS1;"Q92878,  P49959,  O60934"
SIGNOR-C150;APC;"Q9UJX2,  Q9UJX3,  Q9NYG5,  Q8NHZ8,  Q9UJX4,  Q9BS18,  Q9UJX5,  Q9UM13,  Q9UJX6,  P30260,  Q9H1A4,  Q13042"
SIGNOR-C151;"Noncanonical PRC1";"Q99496,  Q6W2J9,  P63208,  Q9BSM1"
SIGNOR-C152;PAX2/TLE4;"Q04727,  P19544"
SIGNOR-C153;TCR;"P01850,  P09693,  P04234,  P07766,  P20963,  P01848"
SIGNOR-C154;AP1;"P01100,  P05412"
SIGNOR-C155;Calcineurin;"P63098,  Q08209"
SIGNOR-C156;PI3K;"P27986,  P42336"
SIGNOR-C157;"LE-TGN  SNARE";"O60499,  O14662,  Q15836,  Q96AJ9"
SIGNOR-C158;"SMN complex";"Q9UHI6,  O14893,  Q8WXD5,  Q9H840,  P57678,  Q16637,  Q8TEQ6"
SIGNOR-C159;"A1/b1 integrin";"P05556,  P56199"
SIGNOR-C160;"A2/b1 integrin";"P05556,  P17301"
SIGNOR-C161;"A3/b1 integrin";"P05556,  P26006"
SIGNOR-C162;"A4/b1 integrin";"P05556,  P13612"
SIGNOR-C163;"A5/b1 integrin";"P08648,  P05556"
SIGNOR-C164;"A6/b1 integrin";"P23229,  P05556"
SIGNOR-C165;"A8/b1 integrin";"P05556,  P53708"
SIGNOR-C166;"A9/b1 integrin";"P05556,  Q13797"
SIGNOR-C167;"A10/b1 integrin";"P05556,  O75578"
SIGNOR-C168;"A11/b1 integrin";"Q9UKX5,  P05556"
SIGNOR-C169;"AL/b2 integrin";"P20701,  P05107"
SIGNOR-C170;"AM/b2 integrin";"P11215,  P05107"
