CAS	CHEBI
100-00-5	34399
100-01-6	17064
100-02-7	16836
100-06-1	86567
100-09-4	40813
100-10-7	91114
100-11-8	62822
100-14-1	87406
100-16-3	66931
100-17-4	1911
100-19-6	28735
100-21-0	15702
100-25-4	51398
100-26-5	46865
100-33-4	45081
100-37-8	52153
100-39-0	59858
100-40-3	82377
100-41-4	16101
100-42-5	27452
100-44-7	615597
100-46-9	40538
100-47-0	27991
100-48-1	28020
100-51-6	17987
100-52-7	17169
100-53-8	137674
100-54-9	86556
100-58-3	51238
100-59-4	51490
100-60-7	59018
100-61-8	15733
100-63-0	27924
100-65-2	28902
100-66-3	16579
100-68-5	134281
100-70-9	27837
100-75-4	76324
100-76-5	38420
100-83-4	16207
100-88-9	15964
100-90-3	83457
100-91-4	94371
100-92-5	6755
100-97-0	6824
1000-82-4	16481
100007-55-4	5427
10001-43-1	135346
100016-94-2	9127
10004-44-1	5827
100041-05-2	69443
100043-29-6	33194
10008-73-8	36439
10009-20-8	61064
1001-13-4	90324
10010-67-0	63077
100102-34-9	15433
10012-73-4	9260
10015-85-7	60428
10015-88-0	60286
10016-20-3	40585
10016-32-7	36958
1001609-88-6	65602
10018-94-7	27537
100196-22-3	1446
1002-33-1	89638
1002-53-5	23686
1002-84-2	42504
1002-96-6	32428
10020-96-9	18450
100214-79-7	64635
10022-68-1	86156
10023-74-2	31011
1002304-34-8	90626
10024-97-2	17045
10025-65-7	49801
10025-69-1	78074
10025-70-4	36385
10025-73-7	53351
10025-77-1	86254
10025-85-1	37382
10025-87-3	30336
10025-91-9	74856
10026-00-3	59608
10026-11-6	77566
10026-13-8	30335
10026-22-9	86214
10026-24-1	53470
10026-24-1	91244
10028-14-5	33396
10028-15-6	25812
10028-17-8	29298
10028-22-5	53438
10028-24-7	91258
100286-90-6	5971
100286-97-3	34850
100288-36-6	8236
100299-08-9	31971
1003-10-7	89059
1003-29-8	59978
10030-20-3	57642
10030-73-6	59265
10030-78-1	21818
10030-80-5	37681
100311-07-7	15556
10032-00-5	85255
1003318-67-9	83268
10034-76-1	32584
10034-85-2	43451
10034-96-5	86364
10034-99-8	31795
100347-96-4	81130
10035-04-8	86158
10035-10-6	47266
10036-64-3	44278
10039-32-4	91259
1004-29-1	39028
1004-38-2	39857
1004-75-7	137796
10040-45-6	32147
10041-19-7	534
100427-26-7	135930
10043-01-3	74768
10043-11-5	50883
10043-35-3	33118
10043-52-4	3312
10043-67-1	86463
10043-92-2	33314
10043-92-2	49997
1004316-88-4	72291
1004319-60-1	66032
100440-25-3	50301
10045-45-1	34076
10045-86-0	131371
10045-89-3	76243
100459-00-5	18340
10047-83-3	61909
1004769-34-9	65451
1004769-38-3	65452
100477-72-3	6121
10048-13-2	18227
10048-32-5	7926
10048-95-0	91257
100482-23-3	31361
10049-04-4	29415
10049-21-5	114249
100490-36-6	77573
100490-94-6	77605
1005036-73-6	139037
10051-44-2	114126
100560-66-5	8306
100568-03-4	86991
10058-44-3	132767
10061-01-5	18809
10061-02-6	18624
10062-39-2	79753
100643-71-8	291342
100646-51-3	137938
10066-90-7	32635
100678-32-8	31396
100680-33-9	135833
100696-30-8	134737
1007-28-9	27399
100702-98-5	34223
1007089-85-1	66371
100728-84-5	138116
1007348-79-9	69553
10075-85-1	51675
100784-20-1	81750
1007858-94-7	66695
1007859-01-9	66696
1008-65-7	134791
1008161-75-8	65630
1008161-87-2	65631
100822-41-1	73154
10083-24-6	28814
10089-00-6	64161
10089-23-3	5690
100897-87-8	132370
1009-14-9	36812
10091-84-6	9658
1009104-85-1	87589
1009119-64-5	82977
1009119-65-6	83800
100919-15-1	27857
10092-04-3	6064
1009298-09-2	91329
10094-58-3	17164
10095-06-4	136038
10097-28-6	30588
10097-32-2	33117
100981-43-9	135774
100986-85-4	63598
10099-74-8	37187
101-05-3	82076
101-14-4	28124
101-20-2	48347
101-21-3	34630
101-25-7	82457
101-26-8	8666
101-27-9	33421
101-31-5	17486
101-39-3	89992
101-40-6	134783
101-42-8	5013
101-50-8	86124
101-54-2	59038
101-55-3	77421
101-60-0	8337
101-61-1	34370
101-68-8	53218
101-71-3	134933
101-72-4	63569
101-76-8	28763
101-77-9	32506
101-80-4	34384
101-81-5	38884
101-83-7	34694
101-84-8	39258
101-86-0	55365
101-90-6	82318
101-92-8	35090
101-93-9	135260
1010-60-2	28160
1010-85-1	52604
101001-34-7	31957
101007-06-1	39091
10101-41-4	32583
10101-53-8	53471
10101-68-5	86358
10101-97-0	53437
10101-98-1	53504
1010101-24-2	66698
10102-03-1	29802
10102-17-7	32150
10102-18-8	48843
10102-40-6	75213
10102-43-9	16480
10102-44-0	33101
10102-68-8	81718
10103-60-3	77719
101043-37-2	6925
10108-64-2	35456
10109-05-4	9675
1011-54-7	136676
1011-95-6	23838
10112-91-1	33050
10114-58-6	53615
101143-85-5	29519
101144-39-2	5408
10116-22-0	135339
10118-56-6	3445
10118-90-8	50694
101200-48-0	9678
101205-02-1	4033
10121-91-2	52007
101219-55-0	68306
