id	name
GO:0000015	phosphopyruvate hydratase complex
GO:0000109	nucleotide-excision repair complex
GO:0000110	nucleotide-excision repair factor 1 complex
GO:0000111	nucleotide-excision repair factor 2 complex
GO:0000112	nucleotide-excision repair factor 3 complex
GO:0000113	nucleotide-excision repair factor 4 complex
GO:0000118	histone deacetylase complex
GO:0000120	RNA polymerase I transcription factor complex
GO:0000123	histone acetyltransferase complex
GO:0000124	SAGA complex
GO:0000125	PCAF complex
GO:0000126	transcription factor TFIIIB complex
GO:0000127	transcription factor TFIIIC complex
GO:0000131	incipient cellular bud site
GO:0000133	polarisome
GO:0000136	alpha-1,6-mannosyltransferase complex
GO:0000137	Golgi cis cisterna
GO:0000138	Golgi trans cisterna
GO:0000139	Golgi membrane
GO:0000142	cellular bud neck contractile ring
GO:0000144	cellular bud neck septin ring
GO:0000145	exocyst
GO:0000148	1,3-beta-D-glucan synthase complex
GO:0000151	ubiquitin ligase complex
GO:0000152	nuclear ubiquitin ligase complex
GO:0000153	cytoplasmic ubiquitin ligase complex
GO:0000159	protein phosphatase type 2A complex
GO:0000164	protein phosphatase type 1 complex
GO:0000172	ribonuclease MRP complex
GO:0000176	nuclear exosome (RNase complex)
GO:0000177	cytoplasmic exosome (RNase complex)
GO:0000178	exosome (RNase complex)
GO:0000214	tRNA-intron endonuclease complex
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain
GO:0000222	plasma membrane proton-transporting V-type ATPase, V0 domain
GO:0000223	plasma membrane proton-transporting V-type ATPase, V1 domain
GO:0000228	nuclear chromosome
GO:0000229	cytoplasmic chromosome
GO:0000235	astral microtubule
GO:0000242	pericentriolar material
GO:0000243	commitment complex
GO:0000262	mitochondrial chromosome
GO:0000274	mitochondrial proton-transporting ATP synthase, stator stalk
GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
GO:0000306	extrinsic component of vacuolar membrane
GO:0000307	cyclin-dependent protein kinase holoenzyme complex
GO:0000308	cytoplasmic cyclin-dependent protein kinase holoenzyme complex
GO:0000311	plastid large ribosomal subunit
GO:0000312	plastid small ribosomal subunit
GO:0000313	organellar ribosome
GO:0000314	organellar small ribosomal subunit
GO:0000315	organellar large ribosomal subunit
GO:0000322	storage vacuole
GO:0000323	lytic vacuole
GO:0000324	fungal-type vacuole
GO:0000325	plant-type vacuole
GO:0000326	protein storage vacuole
GO:0000327	lytic vacuole within protein storage vacuole
GO:0000328	fungal-type vacuole lumen
GO:0000329	fungal-type vacuole membrane
GO:0000330	plant-type vacuole lumen
GO:0000331	contractile vacuole
GO:0000333	telomerase catalytic core complex
GO:0000343	plastid-encoded plastid RNA polymerase complex A
GO:0000344	plastid-encoded plastid RNA polymerase complex B
GO:0000345	cytosolic DNA-directed RNA polymerase complex
GO:0000346	transcription export complex
GO:0000347	THO complex
GO:0000399	cellular bud neck septin structure
GO:0000407	pre-autophagosomal structure
GO:0000408	EKC/KEOPS complex
GO:0000417	HIR complex
GO:0000418	DNA-directed RNA polymerase IV complex
GO:0000419	DNA-directed RNA polymerase V complex
GO:0000421	autophagosome membrane
GO:0000427	plastid-encoded plastid RNA polymerase complex
GO:0000428	DNA-directed RNA polymerase complex
GO:0000438	core TFIIH complex portion of holo TFIIH complex
GO:0000439	core TFIIH complex
GO:0000440	core TFIIH complex portion of NEF3 complex
GO:0000444	MIS12/MIND type complex
GO:0000445	THO complex part of transcription export complex
GO:0000446	nucleoplasmic THO complex
GO:0000500	RNA polymerase I upstream activating factor complex
GO:0000502	proteasome complex
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
GO:0000775	chromosome, centromeric region
GO:0000776	kinetochore
GO:0000777	condensed chromosome kinetochore
GO:0000778	condensed nuclear chromosome kinetochore
GO:0000779	condensed chromosome, centromeric region
GO:0000780	condensed nuclear chromosome, centromeric region
GO:0000781	chromosome, telomeric region
GO:0000782	telomere cap complex
GO:0000783	nuclear telomere cap complex
GO:0000784	nuclear chromosome, telomeric region
GO:0000785	chromatin
GO:0000786	nucleosome
GO:0000787	cytoplasmic nucleosome
GO:0000788	nuclear nucleosome
GO:0000789	cytoplasmic chromatin
GO:0000790	nuclear chromatin
GO:0000791	euchromatin
GO:0000792	heterochromatin
GO:0000793	condensed chromosome
GO:0000794	condensed nuclear chromosome
GO:0000795	synaptonemal complex
GO:0000796	condensin complex
GO:0000797	condensin core heterodimer
GO:0000798	nuclear cohesin complex
GO:0000799	nuclear condensin complex
GO:0000800	lateral element
GO:0000801	central element
GO:0000802	transverse filament
GO:0000803	sex chromosome
GO:0000804	W chromosome
GO:0000805	X chromosome
GO:0000806	Y chromosome
GO:0000807	Z chromosome
GO:0000808	origin recognition complex
GO:0000809	cytoplasmic origin of replication recognition complex
GO:0000811	GINS complex
GO:0000812	Swr1 complex
GO:0000813	ESCRT I complex
GO:0000814	ESCRT II complex
GO:0000815	ESCRT III complex
GO:0000817	COMA complex
GO:0000818	nuclear MIS12/MIND complex
GO:0000835	ER ubiquitin ligase complex
GO:0000836	Hrd1p ubiquitin ligase complex
GO:0000837	Doa10p ubiquitin ligase complex
GO:0000838	Hrd1p ubiquitin ligase ERAD-M complex
GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex
GO:0000922	spindle pole
GO:0000923	equatorial microtubule organizing center
GO:0000924	gamma-tubulin ring complex, centrosomal
GO:0000927	gamma-tubulin small complex, centrosomal
GO:0000928	gamma-tubulin small complex, spindle pole body
GO:0000930	gamma-tubulin complex
GO:0000931	gamma-tubulin large complex
GO:0000932	P-body
GO:0000933	adventitious septum
GO:0000934	porous cell septum
GO:0000935	barrier septum
GO:0000936	primary cell septum
GO:0000937	dolipore septum
GO:0000938	GARP complex
GO:0000939	condensed chromosome inner kinetochore
GO:0000940	condensed chromosome outer kinetochore
GO:0000941	condensed nuclear chromosome inner kinetochore
GO:0000942	condensed nuclear chromosome outer kinetochore
GO:0000943	retrotransposon nucleocapsid
GO:0000974	Prp19 complex
GO:0001114	protein-DNA-RNA complex
GO:0001400	mating projection base
GO:0001401	mitochondrial sorting and assembly machinery complex
GO:0001405	presequence translocase-associated import motor
GO:0001411	hyphal tip
GO:0001518	voltage-gated sodium channel complex
GO:0001520	outer dense fiber
GO:0001527	microfibril
GO:0001533	cornified envelope
GO:0001534	radial spoke
GO:0001535	radial spoke head
GO:0001536	radial spoke stalk
GO:0001650	fibrillar center
GO:0001651	dense fibrillar component
GO:0001652	granular component
GO:0001669	acrosomal vesicle
GO:0001673	male germ cell nucleus
GO:0001674	female germ cell nucleus
GO:0001725	stress fiber
GO:0001726	ruffle
GO:0001739	sex chromatin
GO:0001740	Barr body
GO:0001741	XY body
GO:0001750	photoreceptor outer segment
GO:0001772	immunological synapse
GO:0001891	phagocytic cup
GO:0001917	photoreceptor inner segment
GO:0001931	uropod
GO:0001939	female pronucleus
GO:0001940	male pronucleus
GO:0002079	inner acrosomal membrane
GO:0002080	acrosomal membrane
GO:0002081	outer acrosomal membrane
GO:0002095	caveolar macromolecular signaling complex
GO:0002096	polkadots
GO:0002102	podosome
GO:0002111	BRCA2-BRAF35 complex
GO:0002116	semaphorin receptor complex
GO:0002133	polycystin complex
GO:0002139	stereocilia coupling link
GO:0002140	stereocilia tip link
GO:0002141	stereocilia ankle link
GO:0002142	stereocilia ankle link complex
GO:0002144	cytosolic tRNA wobble base thiouridylase complex
GO:0002167	VRK3/VHR/ERK complex
GO:0002169	3-methylcrotonyl-CoA carboxylase complex, mitochondrial
GO:0002177	manchette
GO:0002178	palmitoyltransferase complex
GO:0002179	homodimeric serine palmitoyltransferase complex
GO:0002180	5-lipoxygenase complex
GO:0002185	creatine kinase complex
GO:0002186	cytosolic creatine kinase complex
GO:0002187	mitochondrial creatine kinase complex
GO:0002189	ribose phosphate diphosphokinase complex
GO:0002193	MAML1-RBP-Jkappa- ICN1 complex
GO:0002197	xanthine dehydrogenase complex
GO:0002199	zona pellucida receptor complex
GO:0002929	MECO complex
GO:0002944	cyclin K-CDK12 complex
GO:0002945	cyclin K-CDK13 complex
GO:0002947	tumor necrosis factor receptor superfamily complex
GO:0005575	cellular_component
GO:0005576	extracellular region
GO:0005577	fibrinogen complex
GO:0005578	proteinaceous extracellular matrix
GO:0005579	membrane attack complex
GO:0005581	collagen trimer
GO:0005582	collagen type XV trimer
GO:0005583	fibrillar collagen trimer
GO:0005584	collagen type I trimer
GO:0005585	collagen type II trimer
GO:0005586	collagen type III trimer
GO:0005587	collagen type IV trimer
GO:0005588	collagen type V trimer
GO:0005589	collagen type VI trimer
GO:0005590	collagen type VII trimer
GO:0005591	collagen type VIII trimer
GO:0005592	collagen type XI trimer
GO:0005593	FACIT collagen trimer
GO:0005594	collagen type IX trimer
GO:0005595	collagen type XII trimer
GO:0005596	collagen type XIV trimer
GO:0005597	collagen type XVI trimer
GO:0005598	short-chain collagen trimer
GO:0005599	collagen type X trimer
GO:0005600	collagen type XIII trimer
GO:0005601	classical-complement-pathway C3/C5 convertase complex
GO:0005602	complement component C1 complex
GO:0005604	basement membrane
GO:0005605	basal lamina
GO:0005606	laminin-1 complex
GO:0005607	laminin-2 complex
GO:0005608	laminin-3 complex
GO:0005609	laminin-4 complex
GO:0005610	laminin-5 complex
GO:0005611	laminin-6 complex
GO:0005612	laminin-7 complex
GO:0005614	interstitial matrix
GO:0005615	extracellular space
GO:0005616	larval serum protein complex
GO:0005618	cell wall
GO:0005619	ascospore wall
GO:0005621	cellular bud scar
GO:0005622	intracellular
GO:0005623	cell
GO:0005628	prospore membrane
GO:0005630	dityrosine layer of spore wall
GO:0005631	chitosan layer of spore wall
GO:0005632	inner layer of spore wall
GO:0005633	ascus lipid particle
GO:0005634	nucleus
GO:0005635	nuclear envelope
GO:0005637	nuclear inner membrane
GO:0005638	lamin filament
GO:0005639	integral component of nuclear inner membrane
GO:0005640	nuclear outer membrane
GO:0005641	nuclear envelope lumen
GO:0005642	annulate lamellae
GO:0005643	nuclear pore
GO:0005652	nuclear lamina
GO:0005654	nucleoplasm
GO:0005655	nucleolar ribonuclease P complex
GO:0005656	nuclear pre-replicative complex
GO:0005657	replication fork
GO:0005658	alpha DNA polymerase:primase complex
GO:0005662	DNA replication factor A complex
GO:0005663	DNA replication factor C complex
GO:0005664	nuclear origin of replication recognition complex
GO:0005665	DNA-directed RNA polymerase II, core complex
GO:0005666	DNA-directed RNA polymerase III complex
GO:0005667	transcription factor complex
GO:0005668	RNA polymerase transcription factor SL1 complex
GO:0005669	transcription factor TFIID complex
GO:0005671	Ada2/Gcn5/Ada3 transcription activator complex
GO:0005672	transcription factor TFIIA complex
GO:0005673	transcription factor TFIIE complex
GO:0005674	transcription factor TFIIF complex
GO:0005675	holo TFIIH complex
GO:0005677	chromatin silencing complex
GO:0005680	anaphase-promoting complex
GO:0005681	spliceosomal complex
GO:0005682	U5 snRNP
GO:0005683	U7 snRNP
GO:0005684	U2-type spliceosomal complex
GO:0005685	U1 snRNP
GO:0005686	U2 snRNP
GO:0005687	U4 snRNP
GO:0005688	U6 snRNP
GO:0005689	U12-type spliceosomal complex
GO:0005690	U4atac snRNP
GO:0005691	U6atac snRNP
GO:0005692	U11 snRNP
GO:0005693	U12 snRNP
GO:0005694	chromosome
GO:0005697	telomerase holoenzyme complex
GO:0005700	polytene chromosome
GO:0005701	polytene chromosome chromocenter
GO:0005702	polytene chromosome weak point
GO:0005703	polytene chromosome puff
GO:0005704	polytene chromosome band
GO:0005705	polytene chromosome interband
GO:0005706	polytene chromosome ectopic fiber
GO:0005712	chiasma
GO:0005713	recombination nodule
GO:0005714	early recombination nodule
GO:0005715	late recombination nodule
GO:0005719	nuclear euchromatin
GO:0005720	nuclear heterochromatin
GO:0005721	pericentric heterochromatin
GO:0005722	beta-heterochromatin
GO:0005723	alpha-heterochromatin
GO:0005724	nuclear telomeric heterochromatin
GO:0005725	intercalary heterochromatin
GO:0005726	perichromatin fibrils
GO:0005727	extrachromosomal circular DNA
GO:0005728	extrachromosomal rDNA circle
GO:0005729	2-micrometer circle DNA
GO:0005730	nucleolus
GO:0005731	nucleolus organizer region
GO:0005732	small nucleolar ribonucleoprotein complex
GO:0005736	DNA-directed RNA polymerase I complex
GO:0005737	cytoplasm
GO:0005739	mitochondrion
GO:0005740	mitochondrial envelope
GO:0005741	mitochondrial outer membrane
GO:0005742	mitochondrial outer membrane translocase complex
GO:0005743	mitochondrial inner membrane
GO:0005744	mitochondrial inner membrane presequence translocase complex
GO:0005745	m-AAA complex
GO:0005746	mitochondrial respiratory chain
GO:0005747	mitochondrial respiratory chain complex I
GO:0005749	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)
GO:0005750	mitochondrial respiratory chain complex III
GO:0005751	mitochondrial respiratory chain complex IV
GO:0005753	mitochondrial proton-transporting ATP synthase complex
GO:0005754	mitochondrial proton-transporting ATP synthase, catalytic core
GO:0005756	mitochondrial proton-transporting ATP synthase, central stalk
GO:0005757	mitochondrial permeability transition pore complex
GO:0005758	mitochondrial intermembrane space
GO:0005759	mitochondrial matrix
GO:0005760	gamma DNA polymerase complex
GO:0005761	mitochondrial ribosome
GO:0005762	mitochondrial large ribosomal subunit
GO:0005763	mitochondrial small ribosomal subunit
GO:0005764	lysosome
GO:0005765	lysosomal membrane
GO:0005766	primary lysosome
GO:0005767	secondary lysosome
GO:0005768	endosome
GO:0005769	early endosome
GO:0005770	late endosome
GO:0005771	multivesicular body
GO:0005773	vacuole
GO:0005774	vacuolar membrane
GO:0005775	vacuolar lumen
GO:0005776	autophagosome
GO:0005777	peroxisome
GO:0005778	peroxisomal membrane
GO:0005779	integral component of peroxisomal membrane
GO:0005780	extrinsic component of intraperoxisomal membrane
GO:0005782	peroxisomal matrix
GO:0005783	endoplasmic reticulum
GO:0005784	Sec61 translocon complex
GO:0005785	signal recognition particle receptor complex
GO:0005786	signal recognition particle, endoplasmic reticulum targeting
GO:0005787	signal peptidase complex
GO:0005788	endoplasmic reticulum lumen
GO:0005789	endoplasmic reticulum membrane
GO:0005790	smooth endoplasmic reticulum
GO:0005791	rough endoplasmic reticulum
GO:0005793	endoplasmic reticulum-Golgi intermediate compartment
GO:0005794	Golgi apparatus
GO:0005795	Golgi stack
GO:0005796	Golgi lumen
GO:0005797	Golgi medial cisterna
GO:0005798	Golgi-associated vesicle
GO:0005801	cis-Golgi network
GO:0005802	trans-Golgi network
GO:0005811	lipid particle
GO:0005813	centrosome
GO:0005814	centriole
GO:0005815	microtubule organizing center
GO:0005816	spindle pole body
GO:0005818	aster
GO:0005819	spindle
GO:0005821	intermediate layer of spindle pole body
GO:0005822	inner plaque of spindle pole body
GO:0005823	central plaque of spindle pole body
GO:0005824	outer plaque of spindle pole body
GO:0005825	half bridge of spindle pole body
