ID	COMPOUND_ID	TYPE	NAME
835521	7	NAME	(+)-car-3-ene
835535	20	NAME	(1R,4S)-camphene
1013674	26	NAME	(+)-cis-trans-nepetalactol
754744	28	NAME	(R)-linalool
1001813	31	NAME	(1S,4R)-menthone
843549	40	NAME	(+)-pinoresinol
754745	89	NAME	(1S,4R)-camphene
754746	98	NAME	(S)-linalool
1017056	99	NAME	(-)-maackiain
897800	100	NAME	(-)-medicarpin
835526	128	NAME	(S)-alpha-terpineol
754747	129	NAME	(-)-beta-phellandrene
835050	149	NAME	(1R,2R,4R)-dihydrocarveol
835052	150	NAME	(1R,2R,4S)-isodihydrocarveol
835056	152	NAME	(1R,2S,4R)-neodihydrocarveol
835057	153	NAME	(1R,2S,4S)-neoisodihydrocarveol
835051	154	NAME	(1R,4R)-dihydrocarvone
835058	155	NAME	(1R,4S)-isodihydrocarvone
835055	158	NAME	(1S,2R,4S)-neodihydrocarveol
835059	166	NAME	(1S,4R)-isodihydrocarvone
835054	168	NAME	(1S,4S)-dihydrocarvone
1001583	211	NAME	(3S)-3-isopropenyl-6-oxoheptanoate
835064	228	NAME	(4R,7R)-4-isopropenyl-7-methyloxepan-2-one
754748	232	NAME	(1S,5S)-carveol
835065	233	NAME	(4S,7R)-4-isopropenyl-7-methyloxepan-2-one
835527	300	NAME	(R)-alpha-terpineol
1012666	614	NAME	1-O-(trans-caffeoyl)-beta-D-glucose
895419	641	NAME	N-methyl-4-phenylpyridine
100905	685	NAME	1-organyl-2-acetyl-sn-glycero-3-phospholipid
911178	701	INN	licarbazepine
909085	732	NAME	5beta-dihydrocortisol
93859	763	INN	algestone
93862	763	INN	algestona
996963	763	NAME	16alpha,17alpha-dihydroxyprogesterone
971488	776	NAME	16alpha-hydroxyestrone
868370	798	NAME	19-hydroxytestosterone
868372	799	NAME	19-oxo-androst-4-ene-3,17-dione
911108	920	NAME	2,4-dinitrotoluene
1014271	957	NAME	2,6-dinitrotoluene
900178	1107	NAME	3-(all-trans-hexaprenyl)benzene-1,2-diol
900176	1109	NAME	2-methoxy-6-(all-trans-hexaprenyl)phenol
900134	1110	NAME	2-all-trans-hexaprenylphenol
971489	1156	NAME	2-hydroxyestrone
754750	1178	NAME	(2S)-2-isopropylmalate
996638	1189	NAME	2-methoxyestrone
828691	1233	NAME	3-(all-trans-octaprenyl)benzene-1,2-diol
828690	1235	NAME	2-methoxy-6-(all-trans-octaprenyl)phenol
754751	1283	NAME	(E,E)-2-methyl-6-oxohepta-2,4-dienal
843508	1294	NAME	(20R,22R)-20,22-dihydroxycholesterol
843507	1301	NAME	(22S)-22-hydroxycholesterol
1017225	1307	NAME	24-methylenecycloartenol
825535	1387	NAME	3,4-dihydroxyphenylethyleneglycol
845843	1617	NAME	4-hydroxy-3-all-trans-octaprenylbenzoate
996994	1624	NAME	a 3-oxo-5beta-steroid
52252	1712	INN	eltanolone
961774	1729	NAME	(-)-4'-desmethyl-deoxypodophyllotoxin
814423	1734	NAME	4'-methoxyisoflavone
866834	1800	NAME	2-methyl-4-chlorophenol
845844	1883	NAME	4-hydroxystyrene
975045	1895	NAME	4-methylbenzyl alcohol
888539	1949	NAME	4alpha-methyl-5alpha-cholesta-8,24-dien-3beta-ol
754752	1958	NAME	5'-dehydroadenosine
825644	2030	NAME	5-amino-4-imidazolecarboxyamide
1015312	2124	NAME	5-pyridoxolactone
909084	2150	NAME	5beta-dihydrotestosterone
849558	2179	NAME	D-fucose
754754	2181	NAME	L-fucose
971490	2288	NAME	7alpha,12alpha-dihydroxy-5beta-cholestan-3-one
971496	2290	NAME	7alpha-hydroxy-5beta-cholestan-3-one
754755	2311	NAME	coelenterazine
93158	2340	INN	docebenone
89841	2379	INN	acebutolol
50605	2386	INN	paracetamol
994698	2394	NAME	acetochlor
754756	2480	NAME	adenosylcob(III)inamide
998048	2495	NAME	androst-4-ene-3,11,17-trione
897816	2504	NAME	aflatoxin B1
994697	2533	NAME	alachlor
101609	2567	INN	alendronic acid
683303	2569	INN	alfentanil
893419	2571	NAME	an aliphatic alcohol
683369	2628	INN	ambenonium chloride
99927	2636	INN	amifostine
101667	2637	INN	amikacin
994893	2639	INN	amiloride
101678	2640	INN	Modamide
683382	2654	INN	aminoglutethimide
683479	2668	INN	amlodipine
683489	2669	INN	amlodipine
683527	2675	INN	amoxapine
105006	2676	INN	amoxicillin
683896	2682	INN	amphotericin B
998124	2686	INN	amrinone
754757	2700	NAME	N-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-ethanolamine
683926	2704	INN	anastrozole
906098	2710	NAME	androst-5-en-3beta,17beta-diol
90457	2719	INN	angiotensin II
104522	2739	INN	octatropine methylbromide
683949	2788	INN	apraclonidine
683967	2789	INN	apraclonidine
823015	2790	INN	apramycin
683980	2896	INN	astemizole
683996	2904	INN	atenolol
684077	2915	INN	atracurium besilate
684082	2922	INN	auranofin
885705	2937	NAME	avenacoside A
885704	2938	NAME	avenacoside B
684090	2946	INN	azatadine
684101	2950	INN	azelastine
684109	2951	INN	azelastine
106893	2956	INN	azlocillin
106976	2968	INN	bacampicillin
105412	2972	INN	baclofen
827620	3001	INN	beclometasone
915104	3011	INN	benazepril
716864	3013	INN	bendroflumethiazide
597663	3020	INN	benzalkonium chloride
716141	3032	INN	benzonatate
716165	3044	INN	benzfetamine
716188	3047	INN	benzthiazide
716911	3048	INN	benzatropine
103260	3077	INN	betamethasone
716956	3082	INN	betaxolol
999878	3089	INN	biapenem
716258	3112	INN	biperiden
105722	3127	INN	bisoprolol
716275	3133	INN	bitolterol
817588	3159	NAME	botrydial
90744	3181	INN	bromocriptine
717048	3183	INN	brompheniramine
105452	3205	INN	buclizine
102601	3207	INN	budesonide
717148	3213	INN	bumetanide
816362	3215	INN	bupivacaine
717168	3216	INN	buprenorphine
105508	3223	INN	buspirone
994689	3230	NAME	butachlor
717197	3238	INN	butenafine
717228	3240	INN	butoconazole
717259	3242	INN	butorphanol
716525	3286	INN	cabergoline
839359	3306	INN	calcitonin
716570	3314	INN	calcium glucoheptonate
717334	3353	INN	candoxatril
717348	3354	INN	candoxatrilat
1004156	3362	NAME	canthaxanthin
754758	3375	NAME	all-trans-capsanthin
754759	3378	NAME	all-trans-capsorubin
89640	3380	INN	captopril
846848	3381	NAME	(-)-car-3-ene
684630	3387	INN	carbamazepine
107019	3393	INN	carbenicillin
717367	3395	INN	carbidopa
717453	3398	INN	carbinoxamine
716611	3403	INN	carboprost
717541	3419	INN	carisoprodol
881103	3423	INN	carmustine
105685	3437	INN	carteolol
105211	3441	INN	carvedilol
597870	3480	INN	cefamandole
1007236	3484	INN	cefclidin
717590	3485	INN	cefdinir
1007390	3488	INN	cefluprenam
108922	3489	INN	cefmetazole
108936	3491	INN	cefonicid
684723	3493	INN	cefoperazone
716683	3495	INN	ceforanide
1006975	3496	INN	cefoselis
598076	3497	INN	cefotaxime
717668	3499	INN	cefotetan
597918	3500	INN	cefoxitin
1007220	3502	INN	cefozopran
1007094	3503	INN	cefpirome
717732	3504	INN	cefpodoxime
858540	3506	INN	cefprozil
684713	3507	INN	cefsulodin
598094	3508	INN	ceftazidime
717767	3510	INN	ceftibuten
831207	3515	INN	cefuroxime
1018106	3528	NAME	D-cellotriose
597929	3537	INN	cefaloridine
684399	3544	INN	cefapirin
684403	3547	INN	cefradine
717815	3558	INN	cerivastatin
