CHEBI	CHEMBL
9	CHEMBL510121
10	CHEMBL500609
17	CHEMBL464528
20	CHEMBL510535
23	CHEMBL519099
28	CHEMBL235672
31	CHEMBL2268548
36	CHEMBL2092846
37	CHEMBL264213
39	CHEMBL1410398
40	CHEMBL260183
42	CHEMBL237766
47	CHEMBL361362
49	CHEMBL176045
63	CHEMBL3120668
64	CHEMBL1186208
74	CHEMBL1526229
76	CHEMBL401798
78	CHEMBL285671
79	CHEMBL435734
88	CHEMBL1907995
89	CHEMBL506889
90	CHEMBL583912
99	CHEMBL334918
100	CHEMBL238845
104	CHEMBL2236867
109	CHEMBL465812
110	CHEMBL552709
111	CHEMBL501109
112	CHEMBL1187592
113	CHEMBL1195032
119	CHEMBL443893
122	CHEMBL461903
125	CHEMBL1096927
126	CHEMBL475536
128	CHEMBL447597
146	CHEMBL470263
151	CHEMBL390356
154	CHEMBL2268553
192	CHEMBL69235
270	CHEMBL353896
272	CHEMBL38874
299	CHEMBL1081721
301	CHEMBL455041
368	CHEMBL2426622
422	CHEMBL330546
469	CHEMBL323727
470	CHEMBL111484
479	CHEMBL206385
508	CHEMBL33775
514	CHEMBL365234
520	CHEMBL487258
534	CHEMBL1477036
540	CHEMBL3183037
614	CHEMBL482242
615	CHEMBL1240705
616	CHEMBL1619972
636	CHEMBL481309
641	CHEMBL311617
666	CHEMBL518136
669	CHEMBL508917
670	CHEMBL278059
671	CHEMBL444776
701	CHEMBL1067
708	CHEMBL402485
715	CHEMBL504142
743	CHEMBL519593
763	CHEMBL2311120
766	CHEMBL2074802
769	CHEMBL1165751
771	CHEMBL1908004
772	CHEMBL1417173
776	CHEMBL1233720
791	CHEMBL1697724
792	CHEMBL2074585
801	CHEMBL2079609
888	CHEMBL1624767
920	CHEMBL259865
943	CHEMBL3039332
945	CHEMBL500871
948	CHEMBL1476089
949	CHEMBL3188781
955	CHEMBL109652
957	CHEMBL1328508
1014	CHEMBL255442
1015	CHEMBL1372690
1046	CHEMBL2006059
1148	CHEMBL567588
1156	CHEMBL1627343
1159	CHEMBL1229938
1189	CHEMBL425194
1196	CHEMBL1651384
1217	CHEMBL1303065
1224	CHEMBL351487
1228	CHEMBL3704820
1237	CHEMBL1867161
1263	CHEMBL584140
1294	CHEMBL560194
1296	CHEMBL173898
1301	CHEMBL1243244
1307	CHEMBL376350
1322	CHEMBL509507
1367	CHEMBL344161
1368	CHEMBL451476
1369	CHEMBL559789
1372	CHEMBL1161508
1391	CHEMBL43048
1395	CHEMBL3181991
1418	CHEMBL450950
1427	CHEMBL134401
1438	CHEMBL116212
1457	CHEMBL149082
1547	CHEMBL442576
1576	CHEMBL1322392
1579	CHEMBL165064
1582	CHEMBL1160785
1588	CHEMBL3586688
1602	CHEMBL1822221
1712	CHEMBL210952
1729	CHEMBL89905
1730	CHEMBL28941
1734	CHEMBL377861
1751	CHEMBL144298
1784	CHEMBL44201
1800	CHEMBL194121
1808	CHEMBL178018
1831	CHEMBL2074795
1864	CHEMBL731
1868	CHEMBL188281
1879	CHEMBL53566
1881	CHEMBL297343
1883	CHEMBL349881
1887	CHEMBL3544546
1895	CHEMBL90100
1896	CHEMBL3248396
1904	CHEMBL1592343
1905	CHEMBL2074784
1911	CHEMBL57537
1927	CHEMBL2230263
1958	CHEMBL308037
1995	CHEMBL254218
2003	CHEMBL267855
2007	CHEMBL3604316
2015	CHEMBL2252901
2022	CHEMBL1795548
2030	CHEMBL1610
2038	CHEMBL1489
2086	CHEMBL7257
2089	CHEMBL8165
2091	CHEMBL2230304
2108	CHEMBL2164965
2120	CHEMBL98610
2129	CHEMBL886
2150	CHEMBL373357
2155	CHEMBL350486
2156	CHEMBL477969
