Secondary	Primary
1	18357
1000	16713
10004	33229
10005	28256
10006	28911
10007	28934
10008	28940
10009	28384
1001	17001
10010	28371
10011	28433
10012	16954
10013	16631
100146	7731
1002	18372
10020	49164
10021	16408
1003	17083
10031	72583
10035	17675
1004	28155
10040	69120
1005	28174
10059	17712
1006	28370
10060	30881
10062	18073
10063	70327
10064	16550
10065	17953
10066	18107
10067	15652
10068	18358
10069	15709
1007	28210
10074	35703
10077	37166
10078	17151
10079	16772
1008	15914
10080	28309
10081	18233
10085	18222
1009	18206
100921	8107
101	15409
10104	50663
101063	18358
10107	16522
10108	27547
101089	4702
1011	15998
10113	29105
10114	28783
101223	9334
101256	28794
1013	17123
10131	18252
10132	15800
10133	16623
101332	643228
10134	16722
101354	3082
101380	258351
10139	16340
10140	16930
10141	17060
10145	29207
10146	17880
10149	16403
10152	37790
10153	16167
10154	17726
10155	17986
10156	17005
10157	15981
10158	17731
10159	16280
1016	27822
10160	15872
10161	16201
10162	16676
10163	15928
10164	15706
10165	16917
10168	18279
10169	17638
1017	17289
10170	16386
10171	17932
101712	5280
10172	16033
10173	17946
10176	17452
10177	16911
10181	18423
10182	17629
10183	17744
10188	17912
10189	16416
10190	28537
10191	17613
10192	17528
10193	18144
10194	16275
10195	16818
10196	28870
10197	28383
10198	18195
10199	18234
102	15410
1020	37012
10201	18283
10202	16551
10203	15802
10204	35411
10205	28449
10206	48428
10207	37415
10208	33704
10209	46874
1021	16886
10210	27578
10212	27959
10215	28425
10218	28676
1022	15745
102217	8069
102247	9332
102256	31252
10227	17734
10228	18260
10229	46688
1023	18112
10230	27525
10231	28061
10232	17973
102327	7983
10233	17954
10234	28754
10235	28347
10236	18217
102367	5706
10237	17785
10238	28348
1024	15849
10240	16046
10241	22385
10242	17925
10243	18148
10244	27818
10245	17665
10246	29042
102465	3756
10247	27554
10249	16295
1025	16333
10250	16674
10251	27516
10252	27602
10253	52773
10254	28459
10255	16326
10256	28746
10257	28543
10258	28539
10259	28657
10260	28729
10261	18205
10262	27535
10264	22407
10265	28067
10266	27896
10267	42606
10268	28764
10269	16300
1027	17217
10270	18189
10271	28552
102718	100241
10272	28518
10273	15902
10277	27674
1028	16413
10281	28554
10286	28351
10287	37572
10288	28772
10289	28226
1029	18425
10290	35376
10291	28349
10292	16124
10293	27907
10294	27848
10296	17716
10297	28771
10298	27432
103	15411
1030	17764
10300	18167
10305	17850
10306	16901
103066	59111
10307	16565
10308	16006
10309	36528
1031	16166
10310	16361
10312	17725
10313	15679
10314	17483
10315	16401
10316	16376
10317	17884
10318	22440
1032	28365
10321	73237
10323	18280
10326	36740
10327	29060
1033	16993
10331	16363
10336	18145
10337	15813
10338	16888
1034	17077
10342	17599
10343	16958
10344	28825
10345	15337
10346	15507
10347	28712
10348	27749
10349	18323
1035	17541
10350	27608
10351	27413
10354	27723
10355	17579
10356	27793
10358	36217
1036	17344
10367	27672
10369	16703
1037	17605
10371	28586
10372	28782
10373	28645
10374	28013
10375	16084
10376	27442
10377	28419
10378	27707
10379	30248
1038	28160
10380	17716
10382	546807
10383	27667
10384	28034
10385	17723
10386	15876
10387	16117
10388	17571
10389	17812
1039	17337
10390	17006
10391	16979
10392	17950
10394	28793
10395	28860
10396	28393
10397	15903
10398	16218
10399	17719
10400	22798
10401	15696
10402	28690
10403	27863
10404	15341
10405	28994
10406	28563
10407	27507
10408	18396
10409	16402
1041	27797
10410	27476
10411	27520
10412	28161
10413	27926
10414	16289
10416	27795
1042	27895
10420	46987
10421	15807
10422	28079
10424	27586
10425	27426
10426	35627
10427	27933
10428	36218
1043	30793
10430	28560
10431	18147
10433	16171
10434	16348
104361	16196
10438	50025
1044	28200
10442	28356
10449	27533
1045	28489
10450	28002
10451	16508
10452	18301
10453	27671
10455	28805
10456	16843
10457	16190
10458	15561
10459	16941
10460	17095
10462	17635
10463	28974
10464	15599
10465	46743
10466	18242
10467	16211
10468	27803
10469	28873
1047	18125
10470	17343
10473	28967
10474	27397
10475	27773
10476	17692
10477	29011
10478	18371
10479	16231
1048	27837
10480	28397
10481	28993
10482	32805
10483	29020
10484	435764
10485	50537
10486	27787
10487	62223
10488	17450
10489	16174
10490	17713
10491	16284
10492	28846
10493	15918
10494	16311
10495	28862
10496	16192
10497	16497
10498	28823
10499	28807
1050	28361
10500	18075
10501	28511
10503	27645
10504	27678
10505	28294
10507	15972
10508	15952
10509	16620
1051	15925
10510	16128
10511	15744
10513	27846
10514	28176
10515	27498
10518	15774
10519	17307
10520	27948
10521	17510
10522	17262
10523	28504
10524	16081
10526	15700
10527	15848
10528	15700
10529	17013
1053	18150
10530	18077
10531	28850
10532	17622
10533	17625
10536	28496
10537	28130
10538	27705
10539	30912
1054	16699
10540	36761
10543	18239
10544	18197
10546	27997
10547	28394
10548	32815
1055	18104
10551	15415
10555	28579
10557	17576
10558	28474
10559	28734
1056	17028
10560	27740
10563	28776
10564	28092
10566	17515
10567	32888
10568	47815
105684	7438
10569	16834
1057	17860
10570	17515
10571	17078
10572	15853
10573	28661
10574	15508
10579	18185
105798	4702
1058	17305
10581	30212
10584	27407
10585	28924
1059	17032
10590	28488
10591	17851
10592	27746
10593	28166
10594	17900
10595	16195
10597	17894
10598	16488
10599	15673
10600	27987
10601	17268
10602	18384
10603	17401
10604	18087
10605	28903
10606	29021
10608	28301
10609	28054
1061	17647
10610	36632
10611	28063
10612	27390
10614	37555
10616	39567
10617	46442
10619	28235
1062	16950
10620	28420
10621	28122
10622	27628
10623	28671
10624	28768
10627	16053
10628	28886
10629	27952
1063	35173
10630	29015
106303	2682
10632	28617
10633	27417
10634	16663
10636	18111
106362	39465
10637	18166
10638	18143
10639	18192
1064	18078
10640	15731
10643	18063
10644	16206
10645	18321
10646	16870
10647	16929
10648	15978
106480	128458
10649	16890
1065	28023
10651	16554
10652	17843
10653	17449
10654	16045
10655	16090
10657	16819
10658	17591
10659	16847
1066	16808
10660	16801
10661	17267
10662	16306
10663	16642
10664	16262
10665	18031
10666	17218
10667	17022
10669	17024
1067	27583
10670	16969
106706	6339
106707	85593
10671	17554
10672	29170
106722	9611
10673	29171
10674	29172
10675	29186
10676	29189
10677	29188
10678	29167
10679	29168
1068	16609
10680	29175
10681	29176
10682	29178
10683	29174
10684	29169
10685	29185
10686	29173
10687	29184
10688	29177
106883	4904
10689	29179
1069	28326
10690	29180
10691	29181
10692	29182
10693	29187
10694	29183
10695	17916
10697	28387
10699	17157
1070	18281
10700	17407
10701	29027
10704	50998
10705	17918
10706	50998
10707	15900
10708	16773
10709	50998
1071	17094
10710	28960
10711	28404
10712	27700
10713	27992
10714	18095
10715	16817
10716	15937
10717	16384
10718	28951
10719	32806
1072	28192
10720	35697
10721	16279
10722	16931
10726	28706
10728	28935
1073	28062
10730	16889
10731	28949
10732	27537
10733	18264
10734	27721
10736	17531
10737	28068
10739	15371
1074	27972
10740	15374
10741	15376
10743	15377
10744	15378
10745	15379
10746	15380
10747	15381
10748	15382
10749	15382
1075	16925
10750	15385
10751	15386
10752	15387
10753	15388
10754	15390
10755	15392
10756	15393
10757	15395
10758	15396
10759	15399
1076	27411
10760	30939
10761	15401
10762	15398
10763	15402
10764	15403
10765	15383
10766	15383
10767	15404
10768	15405
10769	15389
1077	16138
10770	15406
10771	30232
10772	15391
107725	59773
10773	15394
10774	15397
10775	15400
10776	15407
10777	15408
10778	15383
10779	15409
1078	15866
10780	15410
10781	15411
10783	15412
10785	15413
10786	15414
10787	15417
10788	15415
10789	15422
1079	16043
10791	15426
10792	15428
10793	15429
10794	15432
10795	15440
10797	29096
10799	15443
1080	28767
10800	37671
10802	37671
10804	15445
10805	15446
10809	15444
1081	28542
10812	18246
10814	15447
10818	18269
10819	15448
1082	16132
10820	15544
10821	15545
10822	15546
10823	15548
10824	15558
10825	15560
10826	44343
10827	15562
10828	15564
10829	15565
1083	18274
10830	15563
10831	15566
108311	9599
10832	15567
10833	15414
10834	15568
10835	15434
10837	15569
10838	15419
10839	15416
1084	27816
10840	15570
10841	15422
10842	15571
10843	15440
10844	29084
10845	15443
10846	15572
10847	16703
10848	16703
10849	15573
1085	37449
10850	15574
10851	15575
108516	3650
10852	15576
10853	15577
108531	9599
10854	15578
10855	15579
10856	15580
10857	15582
10858	15450
10859	32896
108591	31424
1086	27806
10861	32922
10862	15600
10863	15601
108632	9287
10864	15451
10865	15602
10866	15603
10867	15605
10868	15606
10869	15607
1087	28295
10870	15608
10871	15449
10872	15433
10873	15609
10874	15418
10875	15610
10876	15611
10877	15612
10878	17718
10879	15452
10880	17570
10881	16873
10882	17463
10883	18017
10884	15604
10885	15613
10886	15454
10887	15455
10888	35146
10889	30936
1089	13591
10890	36882
10891	15459
108917	6923
10892	15564
10893	15615
10894	15616
10895	15617
10896	15618
10897	15619
10898	15620
10899	15621
10900	15622
10901	29071
10902	15624
10903	16140
10904	17690
10905	18008
10906	15625
10907	15626
10908	15547
10909	15550
1091	28248
10910	15551
10911	15551
10912	15552
10913	15553
10914	15554
109145	623918
10915	15627
10916	15555
10917	15547
10918	15556
10919	15557
1092	28308
10920	15628
10921	15629
10922	15630
10923	15631
10924	15632
10925	15636
10926	15642
10927	15643
10928	15644
10929	15645
1093	16011
10930	15645
10931	15635
10932	15646
10933	15647
