CHEBI	PUBCHEM
3	223438552
7	11533292
8	49658669
9	223438553
10	223438554
11	223438555
17	223438556
19	223438557
20	49742917
22	223438558
23	223438559
24	223438560
25	8148238
26	8147066
28	14718455
29	223438561
30	223438562
31	14718489
32	26697413
33	223438563
36	223438564
37	223438565
38	223438566
39	223438567
40	160644686
41	8147065
42	49658641
43	223438568
47	17425497
49	223438569
53	8148237
60	223438570
61	223438571
62	223438572
63	223438573
64	223438574
65	223438575
73	223438576
74	46530548
75	26697396
76	160644687
77	223438577
78	223438578
79	223438579
80	223438580
84	223438582
87	26675666
88	50139234
89	49742908
90	160709352
92	26744218
93	223438583
98	14718356
99	162169164
100	56394821
104	223438584
105	223438585
106	223438586
107	223438587
108	315670954
109	223438588
110	223438589
111	223438590
112	223438591
113	223438592
114	223438593
115	223438550
116	223438594
118	223438595
119	8147064
120	223438596
122	24712329
123	223438597
125	223438598
126	223438599
128	29214871
129	49658617
139	223438600
141	223438601
146	223438602
149	50139448
150	50139233
151	8148236
152	50139232
153	50139447
154	50139231
155	50139282
157	223438603
158	50139230
160	8147945
165	17425496
166	50139281
168	50139452
192	223438604
204	223438605
209	223438606
210	223438607
211	17425479
212	17425495
214	223438608
218	223438609
227	56352914
228	50139279
232	56352865
233	50139278
235	223438610
241	223438611
242	223438612
268	223438613
269	223438614
270	223438615
272	223438616
282	223438617
286	223438618
289	223438619
299	8148095
300	8145824
301	49742916
325	223438620
326	223438621
365	223438622
367	49742915
368	8148094
371	17425408
381	223438623
422	8145829
431	223438624
433	85164699
444	8145828
448	223438625
453	223438626
468	223438627
469	8147221
470	8147063
479	8145826
488	8146048
507	223438628
508	8147219
512	8145838
513	22396114
514	223438551
520	223438629
531	223438630
532	223438631
534	223438632
540	8145837
581	223438633
582	223438634
583	223438635
598	172120883
611	223438636
613	223438637
614	223438638
615	49658619
616	223438639
631	111978154
636	223438545
641	92740958
663	11533849
666	223438640
668	223438641
669	8147062
670	8145835
671	223438642
685	223438546
692	223438643
694	223438644
695	223438645
701	223438646
705	223438647
706	223438648
708	223438649
709	223438650
712	223438651
715	223438652
716	223438653
719	223438654
720	223438655
721	223438656
722	223438657
723	223438658
724	223438659
732	223438660
743	17487303
744	135610150
748	223438663
754	223438664
756	164174523
763	8145832
766	223438665
769	8145831
771	17425494
772	223438666
776	99437353
781	223438667
783	8147061
791	17487177
792	223438668
797	223438669
798	8147060
799	8145830
801	223438670
802	223438671
835	49658716
836	49658924
845	164174524
847	223438547
848	124403638
855	11533293
857	17425131
860	223438672
864	8147307
882	223438673
888	49658923
891	223438674
894	223438675
901	223438676
902	223438677
904	8145834
915	56352867
920	8147059
929	85240156
943	29214993
945	11533504
948	223438678
949	223438679
952	8146429
955	11533294
957	50139235
961	29214992
963	29214866
968	223438680
969	223438681
978	8146428
982	223438682
991	8145833
994	14717876
995	14718215
1010	14717839
1012	223438683
1014	223438684
1015	11533505
1018	223438685
1019	85305360
1026	223438686
1040	8146427
1046	223438687
1060	46530515
1088	223438688
1090	223438689
1098	223438690
1107	8145840
1109	11533503
1110	8146426
1113	49658922
1121	223438691
1126	223438692
1127	223438693
1132	223438694
1135	14718441
1139	223438695
1141	223438696
1142	223438697
1148	56352866
1156	17487179
1157	121269875
1159	104222112
1162	223438548
1171	111978150
1177	223438698
1178	10318903
1182	223438699
1184	17425435
1188	223438700
1189	17487178
1191	223438701
1196	223438702
1215	223438703
1217	85240166
1220	223438704
1221	223438705
1224	8145839
1228	223438549
1230	8147058
1233	11533502
1235	11533296
1237	164174525
1241	223438706
1243	223438707
1254	46530654
1263	223438708
1269	160644688
1274	223438709
1277	49658618
1283	57269585
1294	8147056
1296	22396033
1298	223438710
1301	22396048
1307	223438711
1309	223438712
1310	223438713
1322	223438714
1336	223438715
1367	8147055
1368	223438716
1369	223438717
1372	17425132
1374	223438718
1378	223438719
1387	123058745
1390	223438720
1391	8147054
1394	223438721
1395	17425493
1403	8147304
1406	223438543
1410	223438722
1416	223438723
1418	223438724
1427	8147053
1428	223438725
1438	49742713
1439	223438726
1442	223438727
1444	223438728
1445	223438729
1446	223438730
1447	85164703
1449	49693503
1451	223438731
1456	223438732
1457	223438733
1458	29214863
1461	123058747
1463	8145841
1467	46530645
1472	24775693
1475	223438734
1480	223438735
1506	8145844
1531	223438736
1543	8145843
1547	14717840
1549	223438737
1556	223438738
1576	223438739
1579	223438740
1580	223438741
1581	223438742
1582	223438743
1587	223438744
1588	223438745
1602	223438746
1606	160644689
1617	11533501
1622	223438747
1624	223438748
1625	223438749
1634	223438750
1637	223438751
1639	125258676
1642	223438752
1643	11533963
1646	223438753
1655	223438754
1656	135610164
1665	85240157
1670	8148235
1679	223438755
1683	223438756
1684	223438757
1689	223438758
1690	223438759
1712	8148234
1720	223438760
1726	223438762
1728	223438763
1729	223438764
1730	163725479
1734	103158203
1736	223438765
1737	223438766
1744	223438767
1749	223438768
1751	29214862
1760	223438769
1774	49658620
1784	8148233
1790	223438770
1794	223438771
1800	8148232
1808	26676107
1822	223438772
1826	223438773
1831	223438774
1845	223438544
1848	164174526
1864	135610166
1865	14718453
1867	223438775
1868	223438776
1879	11534107
1881	223438777
