chembl_id,pref_name,chebi_id
CHEMBL6206,BROMOENOL LACTONE,
CHEMBL446445,UCL-1530,
CHEMBL2,PRAZOSIN,8364
CHEMBL6355,,86511
CHEMBL266459,ZOMEPIRAC SODIUM,
CHEMBL216458,ALPHA-BUNGAROTOXIN,
CHEMBL3,NICOTINE,17688
CHEMBL6200,,28313
CHEMBL6346,SCR01020,
CHEMBL4,OFLOXACIN,7731
CHEMBL5,NALIDIXIC ACID,100147
CHEMBL6246,ELLAGIC ACID,4775
CHEMBL204021,DARAPLADIB,
CHEMBL6322,PMS-601,
CHEMBL6,INDOMETHACIN,49662
CHEMBL403,SULBACTAM,9321
CHEMBL6269,SC-58272,
CHEMBL6259,DIFLOXACIN,4537
CHEMBL404,TAZOBACTAM,9421
CHEMBL6273,FLEROXACIN,31810
CHEMBL6291,BISINDOLYLMALEIMIDE IX,38912
CHEMBL6209,MERAFLOXACIN,
CHEMBL6210,PD-117558,
CHEMBL6231,AMIFLOXACIN,
CHEMBL8,CIPROFLOXACIN,100241
CHEMBL267230,,17472
CHEMBL9,NORFLOXACIN,100246
CHEMBL10,SB-203580,90705
CHEMBL440084,SB-431542,
CHEMBL269538,HARMINE,28121
CHEMBL6615,HEXESTROL,31669
CHEMBL6557,PNU-22394,
CHEMBL269236,TRYPTOLINE,
CHEMBL6467,4-METHYLTHIOAMPHETAMINE,
CHEMBL6509,,65009
CHEMBL6616,,64629
CHEMBL6640,TRYPTAMINE,16765
CHEMBL6409,CGS-19281A,
CHEMBL6561,,100461
CHEMBL6461,Ro-481220,
CHEMBL267458,BMS-182874,
CHEMBL6318,IDOXIFENE,
CHEMBL6368,p-IODOAMPHETAMINE,
CHEMBL405,AMPHETAMINE,2679
CHEMBL6622,ISOSORBIDE DINITRATE,6061
CHEMBL6437,MIANSERIN,51137
CHEMBL6731,TENAMFETAMINE,
CHEMBL263881,LYSERGIDE,6605
CHEMBL11,IMIPRAMINE,47499
CHEMBL406,INDAPAMIDE,5893
CHEMBL415290,Ro-151310,
CHEMBL407,FLUMAZENIL,5103
CHEMBL6444,,47727
CHEMBL266800,,10028
CHEMBL408,TROGLITAZONE,9753
CHEMBL6594,WIN-54954,10029
CHEMBL6623,EPIBATIDINE,
CHEMBL6641,,10027
CHEMBL269003,DIMETHYLSTILBESTROL,34717
CHEMBL409,BICALUTAMIDE,
CHEMBL12,DIAZEPAM,49575
CHEMBL6462,DUP-721,
CHEMBL6597,Ro-154513,
CHEMBL266979,ENISOPROST,
CHEMBL13,METOPROLOL,6904
CHEMBL6378,ZIDAPAMIDE,
CHEMBL266195,ALPRENOLOL,51211
CHEMBL538393,DIMECAMINE,
CHEMBL7301,FENRETINIDE,42588
CHEMBL269703,,3845
CHEMBL411,DIETHYLSTILBESTROL,41922
CHEMBL267665,RO-147437,
CHEMBL267936,MECAMYLAMINE,6706
CHEMBL266240,,3602
CHEMBL14,CARBACHOL,3385
CHEMBL268808,NORARECOLINE,80754
CHEMBL269366,RO-194603,34952
CHEMBL16,PHENYTOIN,8107
CHEMBL413,SIROLIMUS,9168
CHEMBL269732,TACROLIMUS,61049
CHEMBL6367,GPI-1046,
CHEMBL414,CARZENIDE,
CHEMBL269705,RO-145975,
CHEMBL269733,DEPHOSTATIN,
CHEMBL415,CLOMIPRAMINE,47780
CHEMBL7010,FENCAMFAMIN,
CHEMBL7303,ARECOLINE,2814
CHEMBL416,METHOXSALEN,18358
CHEMBL17,DICHLORPHENAMIDE,101085
CHEMBL6607,BROLAMFETAMINE,
CHEMBL18,ETHOXZOLAMIDE,101096
CHEMBL417,EPIRUBICIN,47898
CHEMBL19,METHAZOLAMIDE,6822
CHEMBL20,ACETAZOLAMIDE,27690
CHEMBL418,"2,4-DISULFAMYLTRIFLUOROMETHYLANILINE",
CHEMBL419,MAFENIDE,6633
CHEMBL21,SULFANILAMIDE,45373
CHEMBL420,GUANABENZ,5553
CHEMBL22,TRIMETHOPRIM,45924
CHEMBL6966,VERAPAMIL,77733
CHEMBL421,SULFASALAZINE,9334
CHEMBL268089,WR-159412,
CHEMBL6466,COUMARIN,28794
CHEMBL7359,BW-A78U,
CHEMBL23,DILTIAZEM,101278
CHEMBL24,ATENOLOL,2904
CHEMBL25,ASPIRIN,15365
CHEMBL6993,,85558
CHEMBL266128,4-AMINOQUINAZOLINE,
