"gene_id","hms_id","class_min","Approved.Symbol"
25,10001,10,"ABL1"
27,10001,10,"ABL2"
90,10001,10,"ACVR1"
91,10001,10,"ACVR1B"
92,10001,10,"ACVR2A"
93,10001,10,"ACVR2B"
94,10001,10,"ACVRL1"
202,10001,10,"AIM1"
207,10001,10,"AKT1"
208,10001,10,"AKT2"
238,10001,3,"ALK"
558,10001,10,"AXL"
595,10001,10,"CCND1"
640,10001,10,"BLK"
657,10001,10,"BMPR1A"
658,10001,10,"BMPR1B"
659,10001,10,"BMPR2"
660,10001,10,"BMX"
673,10001,10,"BRAF"
695,10001,10,"BTK"
699,10001,10,"BUB1"
780,10001,10,"DDR1"
814,10001,10,"CAMK4"
815,10001,10,"CAMK2A"
816,10001,10,"CAMK2B"
817,10001,10,"CAMK2D"
818,10001,10,"CAMK2G"
890,10001,2,"CCNA2"
891,10001,2,"CCNB1"
898,10001,2,"CCNE1"
902,10001,2,"CCNH"
904,10001,2,"CCNT1"
983,10001,2,"CDK1"
984,10001,10,"CDK11B"
1017,10001,2,"CDK2"
1018,10001,10,"CDK3"
1019,10001,10,"CDK4"
1020,10001,2,"CDK5"
1021,10001,10,"CDK6"
1022,10001,2,"CDK7"
1024,10001,10,"CDK8"
1025,10001,2,"CDK9"
1033,10001,10,"CDKN3"
1111,10001,10,"CHEK1"
1147,10001,10,"CHUK"
1195,10001,3,"CLK1"
1196,10001,2,"CLK2"
1198,10001,10,"CLK3"
1263,10001,10,"PLK3"
1432,10001,10,"MAPK14"
1436,10001,10,"CSF1R"
1445,10001,10,"CSK"
1452,10001,10,"CSNK1A1"
1453,10001,3,"CSNK1D"
1454,10001,2,"CSNK1E"
1455,10001,10,"CSNK1G2"
1456,10001,3,"CSNK1G3"
1457,10001,10,"CSNK2A1"
1459,10001,10,"CSNK2A2"
1612,10001,10,"DAPK1"
1613,10001,10,"DAPK3"
1760,10001,10,"DMPK"
1859,10001,3,"DYRK1A"
1956,10001,10,"EGFR"
1969,10001,10,"EPHA2"
2011,10001,10,"MARK2"
2041,10001,10,"EPHA1"
2042,10001,10,"EPHA3"
2043,10001,10,"EPHA4"
2044,10001,10,"EPHA5"
2045,10001,10,"EPHA7"
2046,10001,10,"EPHA8"
2047,10001,10,"EPHB1"
2048,10001,10,"EPHB2"
2049,10001,10,"EPHB3"
2050,10001,10,"EPHB4"
2051,10001,10,"EPHB6"
2064,10001,10,"ERBB2"
2065,10001,10,"ERBB3"
2066,10001,10,"ERBB4"
2081,10001,10,"ERN1"
2185,10001,10,"PTK2B"
2241,10001,10,"FER"
2242,10001,10,"FES"
2260,10001,10,"FGFR1"
2261,10001,10,"FGFR3"
2263,10001,10,"FGFR2"
2264,10001,10,"FGFR4"
2268,10001,10,"FGR"
2312,10001,10,"FLG"
2321,10001,10,"FLT1"
2322,10001,10,"FLT3"
2324,10001,10,"FLT4"
2444,10001,10,"FRK"
2475,10001,10,"MTOR"
2534,10001,10,"FYN"
2580,10001,10,"GAK"
2868,10001,10,"GRK4"
2872,10001,10,"MKNK2"
2931,10001,10,"GSK3A"
2932,10001,10,"GSK3B"
3055,10001,10,"HCK"
3480,10001,10,"IGF1R"
3551,10001,10,"IKBKB"
3643,10001,10,"INSR"
