SARS-CoV-2,MESH,C000656484
COVID-19,MESH,C000657245
S protein,UP,P0DTC2
pH,MESH,D006863
S-protein,UP,P0DTC2
death,MESH,D003643
Transcription factor AP-1,FPLX,AP1
Tumour necrosis factor,FPLX,TNF
VACCINE,MESH,D014611
angiotensin II,UPPRO,PRO_0000032458
HCQ,CHEBI,CHEBI:5801
Ang,UPPRO,PRO_0000032458
pro-IL-1b,HGNC,5992
IFNAR,FPLX,IFNAR
RAAS,MESH,D012084
ARB,MESH,D047228
ACEI,MESH,D000806
H1N1,EFO,EFO:1001488
SARS,MESH,D045169
coronavirus-2,MESH,C000656484
spike protein,UP,P0DTC2
Toll Like Receptor,FPLX,TLR
