doid_id	name
DOID:0001816	angiosarcoma
DOID:0002116	pterygium
DOID:0014667	disease of metabolism
DOID:0040001	shrimp allergy
DOID:0040002	aspirin allergy
DOID:0040003	benzylpenicillin allergy
DOID:0040004	amoxicillin allergy
DOID:0040005	ceftriaxone allergy
DOID:0040006	carbamazepine allergy
DOID:0040007	abacavir allergy
DOID:0040008	isoniazide allergy
DOID:0040009	lidocaine allergy
DOID:0040010	mepivacaine allergy
DOID:0040011	phenobarbital allergy
DOID:0040012	phenytoin allergy
DOID:0040013	ranitidine allergy
DOID:0040014	corticosteroid allergy
DOID:0040015	sulfonamide allergy
DOID:0040016	sulfamethoxazole allergy
DOID:0040017	suprofen allergy
DOID:0040018	thiopental allergy
DOID:0040019	D-mannitol allergy
DOID:0040020	cefotaxime allergy
DOID:0040021	cephalosporin allergy
DOID:0040022	amodiaquine allergy
DOID:0040023	cefaclor allergy
DOID:0040024	ceftazidime allergy
DOID:0040025	cefuroxime allergy
DOID:0040026	chlorhexidine allergy
DOID:0040027	cyclophosphamide allergy
DOID:0040028	succinylcholine allergy
DOID:0040029	trimethoprim allergy
DOID:0040030	cefixime allergy
DOID:0040031	diclofenac allergy
DOID:0040032	carbapenem allergy
DOID:0040033	piperacillin allergy
DOID:0040034	rocuronium allergy
DOID:0040035	sulfasalazine allergy
DOID:0040036	tubocurarine allergy
DOID:0040037	aztreonam allergy
DOID:0040038	meropenem allergy
DOID:0040040	hexamethylene diisocyanate allergic asthma
DOID:0040041	isocyanates allergic asthma
DOID:0040042	diphenylmethane-4,4'-diisocyanate allergic asthma
DOID:0040043	toluene meta-diisocyanate allergic asthma
DOID:0040044	methyl isocyanate allergic asthma
DOID:0040045	nickel allergic asthma
DOID:0040046	nickel allergic contact dermatitis
DOID:0040047	trimellitic anhydride allergic asthma
DOID:0040048	phthalic anhydride allergic asthma
DOID:0040049	maleic anhydride allergic asthma
DOID:0040050	tetrachlorophthalic anhydride allergic asthma
DOID:0040051	hexahydrophthalic anhydride allergic asthma
DOID:0040052	diphenylmethane-4,4'-diisocyanate allergic contact dermatitis
DOID:0040053	cobalt allergic contact dermatitis
DOID:0040054	cobalt allergic asthma
DOID:0040055	palladium allergic contact dermatitis
DOID:0040056	chromium allergic contact dermatitis
DOID:0040057	benzoic acid allergic contact dermatitis
DOID:0040058	1,4-phenylenediamine allergic contact dermatitis
DOID:0040059	potassium dichromate allergic contact dermatitis
DOID:0040060	ketoprofen photoallergic dermatitis
DOID:0040061	remazole black respiratory allergy
DOID:0040062	chloramine T respiratory allergy
DOID:0040063	4-vinylcyclohexene dioxide respiratory allergy
DOID:0040064	carvone allergic contact dermatitis
DOID:0040065	quinidine allergy
DOID:0040066	melphalan allergy
DOID:0040067	neomycin sulfate allergic contact dermatitis
DOID:0040068	4-tert-butylphenol allergic contact dermatitis
DOID:0040069	1-chloro-2,4-dinitrobenzene allergic contact dermatitis
DOID:0040070	co-trimoxazole allergy
DOID:0040071	sodium aurothiomalate allergy
DOID:0040072	parthenolide allergic contact dermatitis
DOID:0040073	disodium cromoglycate allergy
DOID:0040074	formaldehyde allergic contact dermatitis
DOID:0040075	benzo[d]isothiazol-3-one allergic contact dermatitis
DOID:0040076	phthalyl group allergy
DOID:0040077	alcuronium bromide allergy
DOID:0040078	gallamine allergy
DOID:0040079	2,4-dinitrophenyl allergic contact dermatitis
DOID:0040080	patent blue V allergy
DOID:0040081	acid anhydride respiratory allergy
DOID:0040082	oxirane allergy
DOID:0040083	Chlamydia pneumonia
DOID:0040084	Streptococcus pneumonia
DOID:0040085	bacterial sepsis
DOID:0040086	Polyomavirus-associated nephropathy
DOID:0040087	autoimmune peripheral neuropathy
DOID:0040088	autoimmune uveitis
DOID:0040089	autoimmune optic neuritis
DOID:0040090	autoimmune gastritis
DOID:0040091	autoimmune pancreatitis
DOID:0040092	juvenile ankylosing spondylitis
DOID:0040093	drug-induced lupus erythematosus
DOID:0040094	autoimmune glomerulonephritis
DOID:0040095	autoimmune cardiomyopathy
DOID:0040096	autoimmune atherosclerosis
DOID:0040097	autoimmune vasculitis
DOID:0040098	pemphigus gestationis
DOID:0040099	livedoid vasculitis
DOID:0040100	Hirata disease
DOID:0040101	N,N'-diphenylthiourea allergic contact dermatitis
DOID:0040102	N,N'-diethylthiourea allergic contact dermatitis
DOID:0040103	cefotiam allergy
DOID:0040104	toluene 2,4-diisocyanate allergic asthma
DOID:0050004	seminal vesicle acute gonorrhea
DOID:0050012	chikungunya
DOID:0050013	carbohydrate metabolism disease
DOID:0050025	human granulocytic anaplasmosis
DOID:0050026	human monocytic ehrlichiosis
DOID:0050032	mineral metabolism disease
DOID:0050035	African tick-bite fever
DOID:0050041	Astrakhan spotted fever
DOID:0050042	Indian tick typhus
DOID:0050043	Israeli tick typhus
DOID:0050046	Far Eastern spotted fever
DOID:0050047	Flinders Island spotted fever
DOID:0050050	Japanese spotted fever
