DRUGBANK_ID	NAMESPACE	ID	SOURCE
DB00001	CHEBI	142437	chebi
DB00001	CHEBML	CHEMBL1201666	drugbank
DB00002	CHEBML	CHEMBL1201577	drugbank
DB00003	CHEBML	CHEMBL1201431	drugbank
DB00004	CHEBML	CHEMBL1201550	drugbank
DB00005	CHEBI	4875	chebi
DB00005	CHEBML	CHEMBL1201572	drugbank
DB00006	CHEBI	59173	chebi
DB00006	CHEBI	59173	drugbank
DB00006	CHEBML	CHEMBL2103749	drugbank
DB00007	CHEBI	63597	chebi
DB00007	CHEBI	6427	chebi
DB00007	CHEBI	6427	drugbank
DB00007	CHEBML	CHEMBL1201199	drugbank
DB00008	CHEBML	CHEMBL1201560	drugbank
DB00009	CHEBML	CHEMBL1201593	drugbank
DB00011	CHEBML	CHEMBL2108509	drugbank
DB00012	CHEBML	CHEMBL1201566	drugbank
DB00013	CHEBML	CHEMBL1201420	drugbank
DB00014	CHEBI	5523	drugbank
DB00014	CHEBML	CHEMBL1201247	drugbank
DB00015	CHEBML	CHEMBL2107885	drugbank
DB00016	CHEBML	CHEMBL1201565	drugbank
DB00017	CHEBI	3306	chebi
DB00018	CHEBML	CHEMBL2109047	drugbank
DB00019	CHEBML	CHEMBL1201568	drugbank
DB00020	CHEBML	CHEMBL1201670	drugbank
DB00022	CHEBML	CHEMBL1201561	drugbank
DB00023	CHEBML	CHEMBL2108989	drugbank
DB00024	CHEBML	CHEMBL1201533	drugbank
DB00025	CHEBML	CHEMBL2108175	drugbank
DB00026	CHEBML	CHEMBL1201570	drugbank
DB00027	CHEBML	CHEMBL557217	drugbank
DB00029	CHEBML	CHEMBL2108250	drugbank
DB00030	CHEBI	5931	chebi
DB00030	CHEBI	5931	drugbank
DB00031	CHEBML	CHEMBL2108791	drugbank
DB00032	CHEBML	CHEMBL2108427	drugbank
DB00033	CHEBML	CHEMBL1201564	drugbank
DB00035	CHEBI	4450	chebi
DB00035	CHEBI	4450	drugbank
DB00035	CHEBI	59726	chebi
DB00035	CHEBI	59728	chebi
DB00035	CHEBML	CHEMBL1429	drugbank
DB00038	CHEBML	CHEMBL1201573	drugbank
DB00039	CHEBML	CHEMBL1201821	drugbank
DB00040	CHEBI	5391	chebi
DB00040	CHEBML	CHEMBL266481	drugbank
DB00041	CHEBML	CHEMBL1201438	drugbank
DB00042	CHEBML	CHEMBL1201569	drugbank
DB00043	CHEBML	CHEMBL1201589	drugbank
DB00044	CHEBML	CHEMBL1201419	drugbank
DB00046	CHEBML	CHEMBL1201538	drugbank
DB00047	CHEBML	CHEMBL1201497	drugbank
DB00049	CHEBML	CHEMBL1201594	drugbank
DB00050	CHEBI	31387	chebi
DB00050	CHEBI	59224	chebi
DB00050	CHEBI	59224	drugbank
DB00050	CHEBML	CHEMBL1200490	drugbank
DB00051	CHEBML	CHEMBL1201580	drugbank
DB00052	CHEBML	CHEMBL1201621	drugbank
DB00053	CHEBML	CHEMBL1201632	drugbank
DB00054	CHEBML	CHEMBL1201584	drugbank
DB00056	CHEBML	CHEMBL1201506	drugbank
DB00057	CHEBML	CHEMBL1743091	drugbank
DB00059	CHEBML	CHEMBL2108546	drugbank
DB00060	CHEBML	CHEMBL1201562	drugbank
DB00061	CHEBML	CHEMBL1201514	drugbank
DB00062	CHEBML	CHEMBL1201451	drugbank
DB00063	CHEBI	291902	chebi
DB00063	CHEBML	CHEMBL1174	drugbank
DB00065	CHEBML	CHEMBL1201581	drugbank
DB00066	CHEBML	CHEMBL1201692	drugbank
DB00067	CHEBML	CHEMBL373742	drugbank
DB00068	CHEBML	CHEMBL1201563	drugbank
DB00069	CHEBML	CHEMBL1201557	drugbank
DB00070	CHEBML	CHEMBL1201636	drugbank
DB00072	CHEBML	CHEMBL1201585	drugbank
DB00073	CHEBML	CHEMBL1201576	drugbank
DB00074	CHEBML	CHEMBL1201439	drugbank
DB00075	CHEBML	CHEMBL1201608	drugbank
DB00080	CHEBI	600103	chebi
DB00080	CHEBI	600103	drugbank
DB00080	CHEBML	CHEMBL387675	drugbank
DB00081	CHEBML	CHEMBL1201604	drugbank
DB00082	CHEBML	CHEMBL1201515	drugbank
DB00085	CHEBML	CHEMBL2108074	drugbank
DB00086	CHEBML	CHEMBL2108147	drugbank
DB00087	CHEBML	CHEMBL1201587	drugbank
DB00088	CHEBML	CHEMBL1201633	drugbank
DB00089	CHEBML	CHEMBL2108285	drugbank
DB00090	CHEBML	CHEMBL1201595	drugbank
DB00091	CHEBI	4031	chebi
DB00091	CHEBI	4031	drugbank
DB00091	CHEBML	CHEMBL160	drugbank
DB00092	CHEBML	CHEMBL1201571	drugbank
DB00093	CHEBI	60564	chebi
DB00093	CHEBI	60564	drugbank
DB00093	CHEBML	CHEMBL3185126	drugbank
DB00094	CHEBML	CHEMBL1201520	drugbank
DB00095	CHEBML	CHEMBL1201575	drugbank
DB00097	CHEBML	CHEMBL1201464	drugbank
DB00099	CHEBML	CHEMBL1201567	drugbank
DB00102	CHEBML	CHEMBL1201556	drugbank
DB00103	CHEBML	CHEMBL2108888	drugbank
DB00104	CHEBI	7726	chebi
DB00104	CHEBML	CHEMBL1680	drugbank
DB00106	CHEBI	337298	chebi
DB00106	CHEBI	337298	drugbank
DB00106	CHEBML	CHEMBL1252	drugbank
DB00107	CHEBI	7872	chebi
DB00107	CHEBML	CHEMBL395429	drugbank
DB00108	CHEBML	CHEMBL1201607	drugbank
DB00109	CHEBI	608828	chebi
DB00109	CHEBML	CHEMBL525076	drugbank
DB00110	CHEBML	CHEMBL1201586	drugbank
DB00111	CHEBML	CHEMBL1201605	drugbank
DB00112	CHEBML	CHEMBL1201583	drugbank
DB00113	CHEBML	CHEMBL2108253	drugbank
DB00114	CHEBI	18405	chebi
DB00114	CHEBI	18405	drugbank
DB00114	CHEBML	CHEMBL82202	drugbank
DB00115	CHEBI	17439	chebi
DB00115	CHEBI	17439	drugbank
DB00115	CHEBML	CHEMBL2110563	drugbank
DB00116	CHEBI	20506	chebi
DB00116	CHEBI	20506	drugbank
DB00116	CHEBML	CHEMBL2021342	drugbank
DB00117	CHEBI	15971	chebi
DB00117	CHEBI	15971	drugbank
DB00117	CHEBML	CHEMBL17962	drugbank
DB00118	CHEBI	15414	chebi
DB00118	CHEBI	67040	drugbank
DB00118	CHEBML	CHEMBL1088977	drugbank
DB00119	CHEBI	32816	chebi
DB00119	CHEBI	32816	drugbank
DB00119	CHEBML	CHEMBL1162144	drugbank
DB00120	CHEBI	17295	chebi
DB00120	CHEBI	17295	drugbank
DB00120	CHEBML	CHEMBL301523	drugbank
DB00121	CHEBI	15956	chebi
DB00121	CHEBI	15956	drugbank
DB00121	CHEBML	CHEMBL857	drugbank
DB00122	CHEBI	15354	chebi
DB00122	CHEBI	15354	drugbank
DB00122	CHEBML	CHEMBL920	drugbank
