efo_id	name
0000001	experimental factor
0000002	CS57511
0000003	CS57512
0000004	CS57515
0000005	CS57520
0000006	CS57521
0000007	CS57537
0000008	CS57541
0000009	CS57543
0000010	CS57544
0000011	CS57548
0000012	CS57549
0000013	CS57551
0000014	CS57556
0000015	CS57560
0000016	CS57563
0000017	CS57569
0000018	CS57570
0000019	CS57572
0000020	CS57580
0000021	CS57581
0000022	CS57583
0000023	CS57586
0000024	CS57587
0000025	CS57591
0000026	CS57595
0000027	CS57596
0000028	CS57598
0000029	CS57601
0000030	CS57603
0000031	CS57606
0000032	CS57610
0000033	CS57615
0000034	CS57616
0000035	CS57618
0000036	CS57619
0000037	CS57620
0000038	CS57621
0000039	CS57622
0000040	CS57624
0000041	CS57625
0000042	CS57626
0000043	CS57627
0000044	CS57628
0000045	CS57629
0000046	CS57630
0000047	CS57631
0000048	CS57637
0000049	CS57641
0000050	CS57644
0000051	CS57646
0000052	CS57648
0000053	CS57655
0000054	CS57658
0000055	CS57660
0000056	CS57663
0000057	CS57664
0000058	CS57666
0000059	CS57671
0000060	CS57677
0000061	CS57691
0000062	CS57692
0000063	CS57699
0000064	CS57701
0000065	CS57704
0000066	CS57705
0000067	CS57706
0000068	CS57709
0000069	CS57710
0000070	CS57714
0000071	CS57715
0000072	CS57716
0000073	CS57717
0000074	CS57719
0000075	CS57722
0000076	CS57727
0000077	CS57731
0000078	CS57732
0000079	CS57733
0000080	CS57735
0000081	CS57737
0000082	CS57740
0000083	CS57742
0000084	CS57743
0000085	CS57750
0000086	CS57751
0000087	CS57752
0000088	CS57753
0000089	CS57758
0000090	CS57769
0000094	B-cell acute lymphoblastic leukemia
0000095	chronic lymphocytic leukemia
0000096	neoplasm of mature B-cells
0000098	BY4741
0000100	BY5251
0000111	CS57770
0000112	CS57771
0000113	CS57776
0000114	CS57777
0000115	CS57778
0000116	CS57779
0000117	CS57783
0000118	CS57785
0000119	CS57789
0000120	CS57790
0000121	CS57801
0000122	CS57803
0000123	CS57807
0000124	CS57810
0000125	CS57811
0000126	CS57812
0000127	CS57813
0000128	CS57816
0000129	CS57820
0000130	CS57822
0000131	CS57823
0000132	CS57824
0000133	CS57825
0000134	CS57826
0000135	CS57827
0000136	CS57828
0000137	CS57834
0000138	CS57835
0000139	CS57836
0000140	CS57840
0000141	CS57842
0000142	CS57843
0000143	CS57847
0000144	CS57848
0000145	CS57850
0000146	CS57854
0000147	CS57858
0000148	CS57859
0000149	CS57867
0000150	CS57870
0000151	CS57871
0000152	CS57873
0000153	CS57874
0000154	CS57875
0000155	CS57876
0000156	CS57883
0000157	CS57884
0000158	CS57886
0000159	CS57890
0000160	CS57896
0000161	CS57901
0000162	CS57904
0000163	CS57905
0000164	CS57908
0000165	CS57923
0000166	CS57924
0000167	CS8581
0000174	Ewing sarcoma
0000175	FUM1
0000176	Fischer 344
0000178	gastric carcinoma
0000179	Goto-Kakizaki
0000180	HIV-1 infection
0000181	head and neck squamous cell carcinoma
0000182	hepatocellular carcinoma
0000183	Hodgkins lymphoma
0000186	invasive ductal carcinoma
0000187	Kaposi's sarcoma cell
0000191	MALT lymphoma
0000195	metabolic syndrome
0000196	metastatic prostate cancer
0000197	mucinous carcinoma
0000198	myelodysplastic syndrome
0000199	oral squamous cell carcinoma
0000200	plasma cell neoplasm
0000203	monoclonal gammopathy
0000205	stage I endometrioid carcinoma
0000206	stage II endometrioid carcinoma
0000209	T-cell acute lymphoblastic leukemia
0000211	unspecified peripheral T-cell lymphoma
0000216	acinar cell carcinoma
0000217	gastritis
0000218	acute erythroleukemia
0000220	acute lymphoblastic leukemia
0000221	acute monocytic leukemia
0000222	acute myeloid leukemia
0000223	acute myelomonocytic leukemia
0000224	acute promyelocytic leukemia
0000225	acute quadriplegic myopathy
0000228	adenocarcinoma
0000231	adenoid cystic carcinoma
0000232	adenoma
0000233	adenosquamous lung carcinoma
0000239	adrenal gland pheochromocytoma
0000244	adult midgut precursor
0000246	age
0000248	alveolar rhabdomyosarcoma
0000249	Alzheimer's disease
0000253	amyotrophic lateral sclerosis
0000254	anal pad specific anlage
0000255	angioimmunoblastic T-cell lymphoma
0000258	antennal primordium2
0000260	anterior endoderm anlage in statu nascendi
0000261	anterior endoderm primordium
0000263	anterior spiracle specific anlage
0000264	antibody
0000266	aortic stenosis
0000269	array design
0000270	asthma
0000272	astrocytoma
0000273	atmosphere
0000274	atopic eczema
0000275	atrial fibrillation
0000278	pancreatitis
0000279	azoospermia
0000280	Barrett's esophagus
0000281	basal-like carcinoma
0000283	behavioral stimulus
0000284	benign prostatic hyperplasia
0000287	biopsy number
0000288	biopsy site
0000289	bipolar disorder
0000292	bladder carcinoma
0000294	bladder tumor
0000304	breast adenocarcinoma
0000305	breast carcinoma
0000306	breast tumor luminal
0000308	bronchoalveolar adenocarcinoma
0000309	Burkitts lymphoma
0000311	cancer
0000312	cancer site
0000313	carcinoma
0000315	cardiac mesoderm primordium
0000318	cardiomyopathy
0000319	cardiovascular disease
0000323	cell property
0000324	cell type
0000325	cellular modification
0000326	central nervous system cancer
0000330	childhood acute myeloid leukemia
0000331	chondroblastoma
0000332	chondromyxoid fibroma
0000333	chondrosarcoma
0000335	chromophobe renal cell carcinoma
0000336	chromosomal aberration
0000337	chronic gastritis
0000339	chronic myelogenous leukemia
0000341	chronic obstructive pulmonary disease
0000342	chronic pancreatitis
0000344	circular visceral mesoderm primordium
0000347	classifier prediction
0000348	clear cell adenocarcinoma
0000349	clear cell renal carcinoma
0000350	clear cell sarcoma of the kidney
0000352	clinical history
0000355	clinical treatment protocol
0000364	colon mucinous adenocarcinoma
0000365	colorectal adenocarcinoma
0000368	minor histocompatibility congenic strain
0000369	compound based treatment
0000370	chemically induced mutation
0000373	congestive heart failure
0000375	array control spike calibration
0000378	coronary artery disease
0000384	Crohn's disease
0000386	crystal cell specific anlage
0000388	electrical current
0000389	cutaneous melanoma
0000391	damage intensity
0000393	Robertsonian translocation
0000394	dedifferentiated chondrosarcoma
0000395	delivery method
0000397	dermal neurofibroma
0000398	dermatomyositis
0000399	developmental stage
0000400	diabetes mellitus
0000401	diabetic nephropathy
0000402	diffuse gastric adenocarcinoma
0000403	diffuse large B-cell lymphoma
0000404	diffuse scleroderma
0000405	digestive system disease
0000407	dilated cardiomyopathy
0000408	disease
0000409	disease free survival
0000410	disease staging
0000412	distant metastasis free survival
0000413	dorsal apodeme specific anlage
0000415	dorsal ectoderm anlage in statu nascendi
0000416	dorsal ectoderm primordium
0000423	dorsal prothoracic pharyngeal muscle
0000428	dose
0000430	ductal adenocarcinoma
0000432	ductal carcinoma in situ
0000433	duration
0000434	ecotype
0000435	ectoderm anlage in statu nascendi
0000437	embryonal rhabdomyosarcoma
0000447	embryonic central nervous system
0000448	embryonic corpus allatum
0000449	embryonic corpus cardiacum
0000450	embryonic cuprophilic cell
0000464	emphysema
0000465	endocarditis
0000466	endometrioid carcinoma
0000469	environmental factor
0000470	environmental stress
0000472	epigenetic factor
0000473	epigenetic status
0000474	epilepsy
0000478	esophageal adenocarcinoma
0000479	essential thrombocythemia
0000480	event death
0000482	event free survival time
0000483	exercise
0000487	exposure
0000488	external control ratio
0000489	extra-adrenal sympathetic paraganglioma
0000490	extraction protocol
0000493	family history
0000494	feature extraction
0000495	fetal growth restriction
0000497	fibromatosis
0000499	follicular thyroid adenoma
0000500	ganglioneuroma
0000501	follicular thyroid carcinoma
0000502	ganglioneuroblastoma
0000503	gastric adenocarcinoma
0000504	gastric intestinal type adenocarcinoma
0000506	gene knock out
0000507	generation
0000508	genetic disorder
0000510	genetic modification
0000511	genetic trait
0000512	reproductive system disease
0000513	genotype
0000514	germ cell tumor
0000516	glaucoma
0000519	glioblastoma multiforme
0000523	growth condition
0000524	head and neck disorder
0000532	host
0000534	hydrostatic pressure
0000536	hyperplasia
0000537	hypertension
0000538	hypertrophic cardiomyopathy
0000540	immune system disease
0000541	immunoprecipitate
0000542	individual
0000544	infection
0000545	infertility
0000546	injury
0000548	instrument
0000549	insulinoma
0000551	intracranial hemorrhage
0000552	invasive ductal and lobular carcinoma
0000553	invasive lobular carcinoma
0000554	irradiate
0000555	irritable bowel syndrome
0000556	ischemia
0000557	juvenile dermatomyositis
0000558	Kaposi's sarcoma
0000559	keratinizing squamous cell carcinoma
0000561	knock in expression
0000562	labelling
0000563	large cell neuroendocrine carcinoma
0000564	leiomyosarcoma
0000565	leukemia
0000568	light
0000569	liposarcoma
0000571	lung adenocarcinoma
0000572	lymphoblast
0000574	lymphoma
0000579	media
0000580	medullary breast carcinoma
0000584	infectious meningitis
0000586	mesenchymal stem cell
0000588	mesothelioma
0000589	metabolic disease
0000595	monophasic synovial sarcoma
0000597	129 mouse strain
0000598	129S6
0000599	129/Sv
0000600	129X1/SvJ
0000601	129xC57BL/6
0000602	BALB/c
0000603	BALB/cByJ
0000604	C57BL/10
0000606	C57BL/6J
0000612	myocardial infarction
0000613	myxoid liposarcoma
0000614	narcolepsy with cataplexy
0000616	neoplasm
0000618	nervous system disease
0000621	neuroblastoma
0000622	neurofibroma
0000625	nevus
0000627	number of injections
0000629	observational design
0000630	oligoastrocytoma
0000632	oligodendroglioma
0000633	operator variation
0000635	organism part
0000637	osteosarcoma
0000638	overall survival
0000639	papillary cystadenocarcinoma
0000640	papillary renal cell carcinoma
0000641	papillary thyroid carcinoma
0000643	pathogen
0000644	pathogen test
0000647	experiment performer
0000648	period of infection
0000649	periodontitis
0000650	whooping cough
0000651	phenotype
0000653	phyllodes tumor
0000658	plexiform neurofibroma
0000660	polycystic ovary syndrome
0000662	polyp
0000663	pool
0000666	portal hypertension
0000668	preeclampsia
0000672	prognostic subgroup
0000673	prostate adenocarcinoma
0000676	psoriasis
0000677	mental or behavioural disorder
0000678	pterygium
0000681	renal cell carcinoma
0000683	replicate
0000684	respiratory system disease
0000685	rheumatoid arthritis
0000686	risk status
0000688	sampling site
0000689	sampling time
0000691	sarcoma
0000692	schizophrenia
0000693	schwannoma
0000694	severe acute respiratory syndrome
0000696	shear stressing
0000698	signet ring cell carcinoma
0000699	Sjogren syndrome
0000700	integumental cell
0000701	skin disease
0000702	small cell lung carcinoma
0000705	spindle cell tumor
0000706	spondyloarthropathy
0000707	squamous cell carcinoma
0000708	squamous cell lung carcinoma
0000712	stroke
0000713	subarachnoid hemorrhage
0000714	survival time
0000715	survival probability
0000717	systemic scleroderma
0000718	exposure temperature
0000719	temporal measurement
0000720	test result
0000721	time
0000724	timepoint
0000726	transfection
0000727	treatment
0000729	ulcerative colitis
0000730	undifferentiated sarcoma
0000731	uterine fibroid
0000732	vehicle role
0000734	vitamin B12 deficiency
0000735	washing
0000736	well-differentiated liposarcoma
0000737	well-differentiated sarcoma
0000746	proteomic profiling
0000747	antigen profiling
0000748	ChIP-Chip
0000749	comparative genomic hybridization by array
0000750	genotyping
0000751	methylation profiling
0000752	metabolomic profiling
0000753	microRNA profiling by array
0000756	melanoma
0000759	lipoma
0000760	malignant peripheral nerve sheath tumor
0000762	hepatocellular adenoma
0000763	viral disease
0000764	HIV infection
0000765	AIDS
0000767	idiopathic cardiomyopathy
0000768	idiopathic pulmonary fibrosis
0000769	Epstein-Barr virus infection
0000770	malignant pleural mesothelioma
0000771	bacterial disease
0000772	pneumococcal infection
0000773	temporal lobe epilepsy
0000775	Whipple's disease
0000776	Aeromonas hydrophila infection
0000777	human granulocytic anaplasmosis
0000778	anthrax infection
0000779	Drosophila C virus infection
0000780	Enterococcus faecalis infection
0000781	Pectobacterium carotovorum infection
0000782	Hibiscus chlorotic ringspot virus infection
0000783	myositis
0000786	anatomy basic component
0000788	fungal component
0000792	craniofacial tissue
0000795	animal developmental tissue
0000808	animal body part
0000811	fat body sensu amphibia
0000884	invertebrate limb
0000889	smooth muscle
0000890	invertebrate ganglion
0000897	pharyngeal nervous system
0000938	sensory bristle
0000949	cartilage
0000988	gametophyte
0000989	root structure
0000991	seed structure
0000992	shoot
0000994	plant fluid
0000995	gall tissue
0000997	storage organ
0000998	plant reproductive system structure
0000999	plant developmental tissue
0001004	pollen tube
0001005	plant sperm
0001010	lateral root meristem
0001018	lateral shoot meristem
0001030	RNAi profiling by array
0001031	tiling path by array
0001032	transcription profiling
0001033	translation profiling
