Pb,CHEBI,CHEBI:25016
microtubules,GO,GO:0005874
NAc,UBERON,UBERON:0001882
LDL-C,CHEBI,CHEBI:47774
MCs,MESH,D008407
oligomers,CHEBI,CHEBI:132554
protein C,HGNC,PROC
MetS,MESH,D024821
Si,CHEBI,CHEBI:27573
Age,MESH,D000375
miR-1,HGNC,MIR1-1
transmembrane protein,NCIT,C16747
protein A,IP,IPR003132
pHi,MESH,D006863
tumor suppressor protein,MESH,D025521
integrase,MESH,D019426
glucocorticoids,CHEBI,CHEBI:24261
Htt,HGNC,HTT
Rg1,CHEBI,CHEBI:67987
MIP-2,HGNC,CXCL2
forskolin,CHEBI,CHEBI:42471
Gal4,UP,P04386
Ga,CHEBI,CHEBI:49631
GAL4,UP,P04386
Sex,MESH,D012723
cycloheximide,CHEBI,CHEBI:27641
HUVECs,MESH,D061307
Nec-1,MESH,C507699
Dpp,UP,P07713
CCR6,HGNC,CCR6
Fish,MESH,D005399
Ts,FMA,FMA:84070
SIN-1,PUBCHEM,9859122
Mg2,CHEBI,CHEBI:18420
Pdx1,UP,P52946
butyrate,CHEBI,CHEBI:17968
fats,MESH,D005223
alpha-glucosidase,HGNC,GAA
ACh,CHEBI,CHEBI:15355
CaP,CHEBI,CHEBI:77635
Ph,MESH,D006863
chloroquine,CHEBI,CHEBI:3638
RNase H,MESH,D016914
carp,MESH,D002347
transgene,MESH,D019076
protein phosphatase,MESH,D010749
proton pump,MESH,D017494
AT 1,HGNC,AGTR1
AsA,CHEBI,CHEBI:22651
PhIP,CHEBI,CHEBI:76290
autosomal dominant,HP,HP:0000006
AAAs,DOID,DOID:7693
cART,NCIT,C94631
IL-27,HGNC,IL27
Gal,HGNC,GAL
Ado,CHEBI,CHEBI:16335
Sca-1,MESH,C074650
Heparin,CHEBI,CHEBI:28304
Pa,MESH,D011550
PDX1,HGNC,PDX1
PTPs,ECCODE,3.1.3.48
chymotrypsin,MESH,D002918
LHb,UBERON,UBERON:0001941
pyrene,CHEBI,CHEBI:39106
oat,MESH,D018554
hyaluronan,CHEBI,CHEBI:16336
CO2,CHEBI,CHEBI:16526
Tir,UP,B7UM99
MoS,CHEBI,CHEBI:30704
calcineurin inhibitor,MESH,D065095
Sic1,UP,P38634
sIL,NCIT,C20497
α-MSH,UPPRO,PRO_0000024970
MI/R,MESH,D015428
Glucocorticoids,CHEBI,CHEBI:24261
17β-estradiol,CHEBI,CHEBI:16469
Gp120,IP,IPR000777
CdS,CHEBI,CHEBI:50833
gAd,HGNC,ADIPOQ
mental retardation,MESH,D008607
