HMDB_ID	CHEBI_ID
HMDB0000001	50599
HMDB0000002	15725
HMDB0000005	30831
HMDB0000008	50613
HMDB0000010	1189
HMDB0000011	17066
HMDB0000012	16450
HMDB0000014	15698
HMDB0000015	28324
HMDB0000016	16973
HMDB0000017	17405
HMDB0000019	16530
HMDB0000020	18101
HMDB0000021	27847
HMDB0000022	742324
HMDB0000023	37373
HMDB0000026	18261
HMDB0000027	59560
HMDB0000030	15956
HMDB0000031	16032
HMDB0000032	17759
HMDB0000033	15727
HMDB0000034	16708
HMDB0000036	28865
HMDB0000037	27584
HMDB0000038	43029
HMDB0000039	30772
HMDB0000042	15366
HMDB0000043	41139
HMDB0000044	29073
HMDB0000045	16027
HMDB0000050	16335
HMDB0000051	16134
HMDB0000052	15682
HMDB0000053	16422
HMDB0000054	16990
HMDB0000055	36217
HMDB0000056	16958
HMDB0000058	17489
HMDB0000060	15344
HMDB0000061	17985
HMDB0000062	16347
HMDB0000063	17650
HMDB0000064	16919
HMDB0000067	16113
HMDB0000068	28918
HMDB0000070	17964
HMDB0000071	28997
HMDB0000072	32805
HMDB0000073	18243
HMDB0000076	15901
HMDB0000077	28689
HMDB0000078	4047
HMDB0000082	17677
HMDB0000085	17172
HMDB0000086	16870
HMDB0000087	17170
HMDB0000089	17562
HMDB0000092	17724
HMDB0000094	30769
HMDB0000095	17361
HMDB0000097	15354
HMDB0000098	53455
HMDB0000099	17482
HMDB0000101	17256
HMDB0000107	16813
HMDB0000108	16236
HMDB0000112	16865
HMDB0000114	52330
HMDB0000115	17497
HMDB0000118	545959
HMDB0000119	16891
HMDB0000121	27470
HMDB0000122	15903
HMDB0000123	15428
HMDB0000124	15946
HMDB0000125	16856
HMDB0000126	15978
HMDB0000127	42717
HMDB0000128	16344
HMDB0000130	44747
HMDB0000131	17754
HMDB0000132	16235
HMDB0000133	16750
HMDB0000134	18012
HMDB0000138	17687
HMDB0000139	32398
HMDB0000142	30751
HMDB0000143	28061
HMDB0000145	17263
HMDB0000148	16015
HMDB0000149	16000
HMDB0000150	16217
HMDB0000151	16469
HMDB0000152	17189
HMDB0000153	27974
HMDB0000156	30797
HMDB0000157	17368
HMDB0000158	17895
HMDB0000159	17295
HMDB0000161	16977
HMDB0000162	17203
HMDB0000163	47937
HMDB0000164	16830
HMDB0000167	16857
HMDB0000168	17196
HMDB0000169	28729
HMDB0000172	17191
HMDB0000174	2181
HMDB0000175	17202
HMDB0000176	18300
HMDB0000177	15971
HMDB0000181	15765
HMDB0000182	18019
HMDB0000183	16946
HMDB0000186	36219
HMDB0000187	17115
HMDB0000189	16039
HMDB0000190	422
HMDB0000191	17053
HMDB0000192	16283
HMDB0000193	30887
HMDB0000194	18323
HMDB0000195	17596
HMDB0000197	16411
HMDB0000201	57589
HMDB0000202	30860
HMDB0000205	30851
HMDB0000206	17752
HMDB0000207	16196
HMDB0000208	30915
HMDB0000209	30745
HMDB0000210	46905
HMDB0000211	17268
HMDB0000212	40356
HMDB0000213	18297
HMDB0000214	15729
HMDB0000215	506227
HMDB0000216	18357
HMDB0000217	44409
HMDB0000218	15842
HMDB0000220	15756
HMDB0000221	16474
HMDB0000222	17490
HMDB0000223	30744
HMDB0000224	17553
HMDB0000225	15753
HMDB0000226	16742
HMDB0000227	17710
HMDB0000228	15882
HMDB0000229	14648
HMDB0000230	45744
HMDB0000232	16675
HMDB0000234	17347
HMDB0000235	18385
HMDB0000237	30768
HMDB0000238	804632
HMDB0000239	16709
HMDB0000240	48854
HMDB0000241	15430
HMDB0000243	32816
HMDB0000244	17015
HMDB0000245	17381
HMDB0000246	26911
HMDB0000247	17924
HMDB0000248	18332
HMDB0000250	29888
HMDB0000251	15891
HMDB0000252	16393
HMDB0000253	16581
HMDB0000254	15741
HMDB0000256	15440
HMDB0000257	5587
HMDB0000258	17992
HMDB0000259	28790
HMDB0000262	17821
HMDB0000263	44897
HMDB0000265	18258
HMDB0000267	18183
HMDB0000269	16566
HMDB0000271	15611
HMDB0000272	15811
HMDB0000273	17748
HMDB0000277	37550
HMDB0000279	16927
HMDB0000280	17111
HMDB0000283	47013
HMDB0000285	15713
HMDB0000286	46229
HMDB0000288	16695
HMDB0000289	17775
HMDB0000290	16264
HMDB0000291	1127735
HMDB0000292	17712
HMDB0000293	10049
HMDB0000294	16199
HMDB0000295	17659
HMDB0000296	16704
HMDB0000299	18107
HMDB0000300	17568
HMDB0000301	30817
HMDB0000302	67119
HMDB0000303	16765
HMDB0000305	17336
HMDB0000306	15760
HMDB0000308	384794
HMDB0000312	36240
HMDB0000313	87628
HMDB0000315	771
HMDB0000317	89228
HMDB0000318	1387
HMDB0000319	16485
HMDB0000321	17023
HMDB0000323	76341
HMDB0000325	70766
HMDB0000326	89219
HMDB0000328	803536
HMDB0000329	86545
HMDB0000332	89213
HMDB0000333	70818
HMDB0000335	776
HMDB0000337	86371
HMDB0000338	28744
HMDB0000339	86366
HMDB0000341	89192
HMDB0000343	1156
HMDB0000344	717733
HMDB0000345	89205
HMDB0000347	87620
HMDB0000349	87625
HMDB0000352	27771
HMDB0000353	37051
HMDB0000354	37051
HMDB0000355	16831
HMDB0000356	42156
HMDB0000359	16577
HMDB0000360	86348
HMDB0000361	88102
HMDB0000362	24344
HMDB0000363	28750
HMDB0000364	81299
HMDB0000366	86350
HMDB0000368	55541
HMDB0000369	36715
HMDB0000370	28388
HMDB0000374	17252
HMDB0000375	1427
HMDB0000378	73026
HMDB0000379	30835
HMDB0000380	89268
HMDB0000383	27727
HMDB0000387	36210
HMDB0000391	16390
HMDB0000393	86952
HMDB0000396	82956
HMDB0000397	18026
HMDB0000398	37440
HMDB0000399	139419
HMDB0000400	16312
HMDB0000402	35128
HMDB0000403	62462
HMDB0000405	28955
HMDB0000406	1150238
HMDB0000407	60645
HMDB0000408	86365
HMDB0000409	78842
HMDB0000411	542045
HMDB0000412	40836
HMDB0000415	81298
HMDB0000418	89455
HMDB0000422	68567
HMDB0000423	48400
HMDB0000424	89312
HMDB0000426	15584
HMDB0000429	17160
HMDB0000430	89324
HMDB0000431	1150237
HMDB0000438	88098
HMDB0000439	82912
HMDB0000440	17445
HMDB0000442	17290
HMDB0000444	30846
HMDB0000446	35704
HMDB0000447	49269
HMDB0000448	30832
HMDB0000449	89328
HMDB0000450	18040
HMDB0000451	89344
HMDB0000452	35619
HMDB0000453	589927
HMDB0000459	68499
HMDB0000462	15676
HMDB0000464	29108
HMDB0000466	9171
HMDB0000468	63931
HMDB0000469	16964
HMDB0000472	17780
HMDB0000473	60281
HMDB0000474	28398
HMDB0000476	88112
HMDB0000477	86147
HMDB0000479	27596
HMDB0000481	74074
HMDB0000482	28837
HMDB0000484	30816
HMDB0000488	72719
HMDB0000489	17261
HMDB0000490	28195
HMDB0000491	35932
HMDB0000492	17996
HMDB0000493	18329
HMDB0000495	428186
HMDB0000496	89405
HMDB0000497	23774
HMDB0000499	89393
HMDB0000500	30763
HMDB0000502	88108
HMDB0000503	88097
HMDB0000505	81308
HMDB0000506	81243
HMDB0000508	15963
HMDB0000509	37127
HMDB0000510	37023
HMDB0000511	30813
HMDB0000512	16259
HMDB0000513	30813
HMDB0000517	16467
HMDB0000518	16755
HMDB0000521	70716
HMDB0000522	37245
HMDB0000525	131434
HMDB0000526	89627
HMDB0000528	30865
HMDB0000529	86595
HMDB0000531	139272
HMDB0000532	40410
HMDB0000535	30776
HMDB0000538	15422
HMDB0000539	20912
HMDB0000542	134104
HMDB0000543	41500
HMDB0000546	542034
HMDB0000547	18420
HMDB0000548	77388
HMDB0000549	42639
HMDB0000551	36714
HMDB0000554	36713
HMDB0000557	43433
HMDB0000559	137054
HMDB0000560	70719
HMDB0000561	17579
HMDB0000562	16737
HMDB0000563	43065
HMDB0000564	72999
HMDB0000565	16534
HMDB0000567	35699
HMDB0000568	18333
HMDB0000569	89510
HMDB0000570	27609
HMDB0000572	37628
HMDB0000573	27997
HMDB0000574	17561
HMDB0000575	17485
HMDB0000577	89519
HMDB0000580	37397
HMDB0000582	350682
HMDB0000585	89573
HMDB0000586	29103
HMDB0000588	29101
HMDB0000592	133343
HMDB0000593	74669
HMDB0000594	89582
HMDB0000595	28976
HMDB0000598	15138
HMDB0000599	49544
HMDB0000601	18402
HMDB0000603	89730
HMDB0000606	32796
HMDB0000607	17439
HMDB0000608	48828
HMDB0000609	49168
HMDB0000610	41509
HMDB0000613	37655
HMDB0000614	84523
HMDB0000617	30845
HMDB0000618	17363
HMDB0000619	16359
HMDB0000620	15670
HMDB0000621	17173
HMDB0000622	741548
HMDB0000623	4676
HMDB0000624	55534
HMDB0000625	33198
HMDB0000626	28834
HMDB0000628	42534
HMDB0000629	16137
HMDB0000630	16040
HMDB0000631	27471
HMDB0000632	18376
HMDB0000633	41183
HMDB0000634	17626
HMDB0000635	87897
HMDB0000637	36274
HMDB0000638	30805
HMDB0000639	30852
HMDB0000640	30997
HMDB0000641	18050
HMDB0000643	28421
HMDB0000645	17973
HMDB0000646	40886
HMDB0000648	16874
HMDB0000649	132823
HMDB0000650	28797
HMDB0000651	68830
HMDB0000652	18250
HMDB0000653	41321
HMDB0000656	143243
HMDB0000657	29036
HMDB0000658	84323
HMDB0000659	491276
HMDB0000660	28645
HMDB0000661	17859
HMDB0000662	17051
HMDB0000663	16002
HMDB0000665	59783
HMDB0000666	45571
HMDB0000667	30662
HMDB0000669	28478
HMDB0000670	27747
HMDB0000672	73722
HMDB0000673	17351
HMDB0000674	73246
HMDB0000675	17606
HMDB0000676	89698
HMDB0000678	70984
HMDB0000679	17443
HMDB0000682	43355
HMDB0000686	43419
HMDB0000687	15603
HMDB0000688	73025
HMDB0000689	74903
HMDB0000691	30794
HMDB0000692	29033
HMDB0000694	32797
HMDB0000695	48430
HMDB0000696	16643
HMDB0000698	37998
HMDB0000699	16797
HMDB0000700	33404
HMDB0000701	64390
HMDB0000703	32800
HMDB0000704	16713
HMDB0000706	73830
HMDB0000707	15999
HMDB0000708	89929
HMDB0000709	89930
HMDB0000710	30830
HMDB0000711	86543
HMDB0000712	73081
HMDB0000714	18089
HMDB0000715	18344
HMDB0000716	30913
HMDB0000717	81253
HMDB0000718	28484
HMDB0000719	15699
HMDB0000720	45630
HMDB0000721	70744
HMDB0000722	36259
HMDB0000725	18095
HMDB0000727	49751
HMDB0000729	50129
HMDB0000730	70979
HMDB0000731	27891
HMDB0000732	1547
HMDB0000734	132244
HMDB0000735	28595
HMDB0000736	84838
HMDB0000737	89912
HMDB0000738	16881
HMDB0000739	64366
HMDB0000740	6359
HMDB0000742	17588
HMDB0000745	85981
HMDB0000746	44510
HMDB0000747	136818
HMDB0000748	32978
HMDB0000749	16600
HMDB0000750	86553
HMDB0000751	17399
HMDB0000752	68566
HMDB0000753	89891
HMDB0000754	37084
HMDB0000755	17385
HMDB0000756	84834
HMDB0000757	28087
HMDB0000759	73514
HMDB0000761	16325
HMDB0000763	27823
HMDB0000764	28631
HMDB0000765	16899
HMDB0000766	40992
HMDB0000767	17802
HMDB0000772	39246
HMDB0000773	49026
HMDB0000779	25998
HMDB0000782	133086
HMDB0000783	89836
HMDB0000784	48131
HMDB0000786	28315
HMDB0000788	25722
HMDB0000791	18102
HMDB0000792	41865
HMDB0000794	21500
HMDB0000795	51340
HMDB0000796	32844
HMDB0000797	18319
HMDB0000798	86618
HMDB0000801	16285
HMDB0000802	18265
HMDB0000803	28009
HMDB0000806	28875
HMDB0000807	17050
HMDB0000808	89963
HMDB0000811	52030
HMDB0000812	21547
HMDB0000814	28132
HMDB0000816	17150
HMDB0000817	74688
HMDB0000819	144308
HMDB0000820	28831
HMDB0000821	27480
HMDB0000822	16388
HMDB0000824	53210
HMDB0000826	42504
HMDB0000827	28842
HMDB0000828	15859
HMDB0000830	49022
HMDB0000832	74099
HMDB0000833	62084
HMDB0000840	9008
HMDB0000842	18386
HMDB0000847	29019
HMDB0000848	84644
HMDB0000849	62346
HMDB0000851	88539
HMDB0000852	27693
HMDB0000853	28497
HMDB0000854	7274
HMDB0000855	15927
HMDB0000856	49002
HMDB0000857	30531
HMDB0000858	86396
HMDB0000859	70869
HMDB0000860	266653
HMDB0000863	17824
HMDB0000865	134216
HMDB0000866	21563
HMDB0000867	21077
HMDB0000868	16332
HMDB0000870	18295
HMDB0000871	17762
HMDB0000872	76308
HMDB0000873	17254
HMDB0000875	18123
HMDB0000876	28940
HMDB0000878	16933
HMDB0000879	805752
HMDB0000881	10072
HMDB0000883	16414
HMDB0000884	45996
HMDB0000885	3663
HMDB0000887	50385
HMDB0000888	73713
HMDB0000892	17418
HMDB0000893	9300
HMDB0000894	74435
HMDB0000895	15355
HMDB0000896	9410
HMDB0000897	28664
HMDB0000898	29009
HMDB0000899	15994
HMDB0000900	28934
HMDB0000902	44215
HMDB0000904	16349
HMDB0000905	17713
HMDB0000906	18139
HMDB0000908	86570
HMDB0000909	88508
HMDB0000910	45919
HMDB0000912	71169
HMDB0000913	1240674
HMDB0000916	15436
HMDB0000917	81240
HMDB0000918	46898
HMDB0000920	16076
HMDB0000921	16175
HMDB0000925	15724
HMDB0000926	16227
HMDB0000929	16828
HMDB0000930	35697
HMDB0000933	545687
HMDB0000935	17200
HMDB0000936	27484
HMDB0000937	28824
HMDB0000939	16680
HMDB0000940	71176
HMDB0000941	28810
HMDB0000943	15908
HMDB0000944	28941
HMDB0000946	9907
HMDB0000947	32368
HMDB0000949	16525
HMDB0000950	84372
HMDB0000951	16525
HMDB0000954	17620
HMDB0000955	27794
HMDB0000956	15671
HMDB0000957	18135
HMDB0000958	32806
HMDB0000959	73018
HMDB0000960	28862
HMDB0000961	17407
HMDB0000962	17460
HMDB0000963	27859
HMDB0000965	16668
HMDB0000968	17816
HMDB0000972	15637
HMDB0000975	16551
HMDB0000977	16835
HMDB0000978	17442
HMDB0000980	18372
HMDB0000981	136486
HMDB0000982	20607
HMDB0000985	17694
HMDB0000988	15625
HMDB0000990	15343
HMDB0000991	75145
HMDB0000992	66951
HMDB0000994	1220424
HMDB0000995	18204
HMDB0000996	16345
HMDB0000998	16311
HMDB0001000	28850
HMDB0001003	17709
HMDB0001005	15412
HMDB0001008	17033
HMDB0001011	27754
HMDB0001013	16082
HMDB0001014	27384
HMDB0001015	16552
HMDB0001016	15905
HMDB0001018	16082
HMDB0001020	16269
HMDB0001021	15454
HMDB0001022	15380
HMDB0001023	17813
HMDB0001024	30933
HMDB0001031	16132
HMDB0001032	16814
HMDB0001035	2719
HMDB0001036	1183270
HMDB0001038	528953
HMDB0001039	16234
HMDB0001041	90222
HMDB0001043	15843
HMDB0001044	16192
HMDB0001045	103389
HMDB0001046	127762
HMDB0001047	28602
HMDB0001049	17515
HMDB0001050	24757
HMDB0001051	5445
HMDB0001052	28259
HMDB0001054	15812
HMDB0001056	15633
HMDB0001057	15488
HMDB0001058	28013
HMDB0001059	16783
HMDB0001060	61682
HMDB0001061	29226
HMDB0001062	15784
HMDB0001063	18081
HMDB0001064	15530
HMDB0001065	16343
HMDB0001066	15694
HMDB0001068	133983
HMDB0001069	91804
HMDB0001070	15533
HMDB0001072	46245
HMDB0001076	139419
HMDB0001078	49728
HMDB0001080	17769
HMDB0001081	17725
HMDB0001083	2482
HMDB0001084	30912
HMDB0001085	15647
HMDB0001086	15437
HMDB0001087	16895
HMDB0001088	57371
HMDB0001090	15899
HMDB0001091	17685
HMDB0001094	16275
HMDB0001095	17009
HMDB0001096	17672
HMDB0001097	15435
HMDB0001101	40813
HMDB0001104	15947
HMDB0001106	18090
HMDB0001107	20794
HMDB0001112	29052
HMDB0001113	15487
HMDB0001114	15541
HMDB0001117	15769
HMDB0001119	82573
HMDB0001120	16057
HMDB0001121	62165
HMDB0001122	7438
HMDB0001123	30754
HMDB0001124	18283
HMDB0001125	18426
HMDB0001126	28313
HMDB0001127	16938
HMDB0001128	37737
HMDB0001129	63154
HMDB0001131	50616
HMDB0001132	15763
HMDB0001134	17980
HMDB0001137	16645
HMDB0001138	17533
HMDB0001139	15553
HMDB0001140	17935
HMDB0001142	16048
HMDB0001143	18228
HMDB0001147	17475
HMDB0001149	17549
HMDB0001151	37741
HMDB0001155	27775
HMDB0001157	15476
HMDB0001160	42394
HMDB0001161	16244
HMDB0001162	24480
HMDB0001163	15820
HMDB0001164	10702
HMDB0001166	15452
HMDB0001167	17158
HMDB0001169	17602
HMDB0001170	17168
HMDB0001172	16256
HMDB0001173	17509
HMDB0001175	15531
HMDB0001176	16556
HMDB0001177	17432
HMDB0001178	16960
HMDB0001179	18304
HMDB0001180	27657
HMDB0001183	16188
HMDB0001184	89540
HMDB0001185	15414
HMDB0001186	17312
HMDB0001187	16155
HMDB0001188	15441
HMDB0001189	767276
HMDB0001190	18086
HMDB0001191	17625
HMDB0001193	15632
HMDB0001195	17804
HMDB0001197	17877
HMDB0001198	16978
HMDB0001199	27574
HMDB0001200	18377
HMDB0001201	17552
HMDB0001202	15918
HMDB0001206	15351
HMDB0001209	30837
HMDB0001211	17422
HMDB0001212	28297
HMDB0001213	16493
HMDB0001216	28889
HMDB0001217	1949
HMDB0001218	28794
HMDB0001219	17184
HMDB0001220	15551
HMDB0001227	17013
HMDB0001228	17798
HMDB0001229	16852
HMDB0001231	17278
HMDB0001232	16836
HMDB0001235	138560
HMDB0001238	17697
HMDB0001240	37753
HMDB0001241	15745
HMDB0001243	15479
HMDB0001244	89315
HMDB0001245	28846
HMDB0001247	28984
HMDB0001248	16238
HMDB0001250	28884
HMDB0001251	16521
HMDB0001252	15710
HMDB0001253	2003
HMDB0001254	15873
HMDB0001256	15746
HMDB0001257	16610
HMDB0001259	16265
HMDB0001261	15439
HMDB0001262	140999
HMDB0001263	17917
HMDB0001264	27956
HMDB0001265	12387
HMDB0001266	10295
HMDB0001268	30907
HMDB0001269	15466
HMDB0001270	16001
HMDB0001271	18116
HMDB0001272	63860
HMDB0001273	15996
HMDB0001274	18075
HMDB0001275	15539
HMDB0001276	17927
HMDB0001278	15442
HMDB0001280	15745
HMDB0001282	63689
HMDB0001285	17211
HMDB0001286	18364
HMDB0001290	15497
HMDB0001294	17720
HMDB0001295	15475
HMDB0001296	143180
HMDB0001297	89406
HMDB0001299	28096
HMDB0001301	1372
HMDB0001302	28685
HMDB0001309	613377
HMDB0001310	15570
HMDB0001311	42111
HMDB0001313	18384
HMDB0001314	16356
HMDB0001315	28659
HMDB0001316	48928
HMDB0001318	17998
HMDB0001319	28803
HMDB0001320	15548
HMDB0001321	48153
HMDB0001322	15534
HMDB0001325	17311
HMDB0001327	49847
HMDB0001328	35248
HMDB0001330	995
HMDB0001333	29035
HMDB0001335	15552
HMDB0001336	41941
HMDB0001337	15651
HMDB0001338	15525
HMDB0001339	15524
HMDB0001340	15883
HMDB0001341	16761
HMDB0001342	18077
HMDB0001343	17436
HMDB0001345	18020
HMDB0001346	16955
HMDB0001347	16584
HMDB0001348	83358
HMDB0001349	60871
HMDB0001351	28542
HMDB0001352	30841
HMDB0001353	17028
HMDB0001354	15636
HMDB0001355	27928
HMDB0001356	15449
HMDB0001358	17898
HMDB0001359	15538
HMDB0001361	17245
HMDB0001362	18276
HMDB0001364	18334
HMDB0001366	17258
HMDB0001367	7125
HMDB0001368	16208
HMDB0001369	27391
HMDB0001370	16026
HMDB0001371	17997
HMDB0001372	9532
HMDB0001373	15468
HMDB0001374	15519
HMDB0001375	15467
HMDB0001376	15925
HMDB0001377	15379
HMDB0001381	15554
HMDB0001382	2691
HMDB0001383	16893
HMDB0001385	27453
HMDB0001387	16913
HMDB0001388	27432
HMDB0001389	16796
HMDB0001391	16955
HMDB0001392	30753
HMDB0001396	15641
HMDB0001397	17345
HMDB0001398	28591
HMDB0001399	16620
HMDB0001401	4170
HMDB0001403	15555
HMDB0001405	1665
HMDB0001406	17154
HMDB0001409	17622
HMDB0001411	89087
HMDB0001412	4581
HMDB0001413	16436
HMDB0001414	17148
HMDB0001416	4222
HMDB0001417	35124
HMDB0001419	34310
HMDB0001420	89079
HMDB0001422	15786
HMDB0001423	15346
HMDB0001425	17474
HMDB0001426	16842
HMDB0001429	26078
HMDB0001430	15772
HMDB0001431	16410
HMDB0001432	17431
HMDB0001439	18381
HMDB0001440	16497
HMDB0001441	30156
HMDB0001442	15544
HMDB0001443	36361
HMDB0001448	26836
HMDB0001449	50169
HMDB0001451	30314
HMDB0001452	15627
HMDB0001453	18022
HMDB0001454	52968
HMDB0001455	11909
HMDB0001457	16496
HMDB0001458	16615
HMDB0001460	28006
HMDB0001466	17735
HMDB0001469	17047
HMDB0001470	9592
HMDB0001471	16229
HMDB0001473	16108
HMDB0001475	33342
HMDB0001476	15793
HMDB0001478	30427
HMDB0001480	17862
HMDB0001481	16702
HMDB0001483	28922
HMDB0001484	15345
HMDB0001485	17590
HMDB0001487	16908
HMDB0001488	15940
HMDB0001489	16300
HMDB0001490	846276
HMDB0001491	18405
HMDB0001492	18185
HMDB0001493	15486
HMDB0001494	15350
HMDB0001495	17433
HMDB0001496	17500
HMDB0001497	30734
HMDB0001498	16595
HMDB0001499	17661
HMDB0001504	2657
HMDB0001505	16716
HMDB0001508	16174
HMDB0001509	15646
HMDB0001510	3219
HMDB0001511	17287
HMDB0001512	9534
HMDB0001513	15750
HMDB0001514	47977
HMDB0001517	18406
HMDB0001518	626842
HMDB0001520	17621
HMDB0001521	15532
HMDB0001522	16628
HMDB0001525	16069
HMDB0001526	16807
HMDB0001527	1438
HMDB0001530	16298
HMDB0001532	16284
HMDB0001533	15636
HMDB0001534	15639
HMDB0001536	16397
HMDB0001537	78741
HMDB0001538	86390
HMDB0001539	17929
HMDB0001542	16153
HMDB0001544	49410
HMDB0001545	17310
HMDB0001546	17239
HMDB0001547	16827
HMDB0001548	18189
HMDB0001550	16225
HMDB0001551	17600
HMDB0001552	30882
HMDB0001553	33574
HMDB0001554	15652
HMDB0001555	18335
HMDB0001562	63606
HMDB0001563	19062
HMDB0001564	16732
HMDB0001565	18132
HMDB0001566	27564
HMDB0001568	86544
HMDB0001569	31542
HMDB0001570	17013
HMDB0001586	29042
HMDB0001587	18280
HMDB0001624	86542
HMDB0001644	17140
HMDB0001645	18347
HMDB0001659	15347
HMDB0001713	32357
HMDB0001721	37712
HMDB0001830	17026
HMDB0001833	108080
HMDB0001842	42820
HMDB0001844	91316
HMDB0001846	20506
HMDB0001847	27732
HMDB0001848	47499
HMDB0001849	8499
HMDB0001850	77733
HMDB0001851	18403
HMDB0001852	15367
HMDB0001854	30452
HMDB0001856	36062
HMDB0001857	68447
HMDB0001858	17847
HMDB0001859	46195
HMDB0001860	25858
HMDB0001861	114444
HMDB0001862	84978
HMDB0001863	60647
HMDB0001864	17308
HMDB0001865	33033
HMDB0001866	27637
HMDB0001867	104011
HMDB0001868	545920
HMDB0001870	30746
HMDB0001871	90
HMDB0001873	16135
HMDB0001874	151
HMDB0001875	17790
HMDB0001876	89878
HMDB0001877	39867
HMDB0001878	27607
HMDB0001879	15365
HMDB0001881	28972
HMDB0001882	16016
HMDB0001886	62207
HMDB0001888	17741
HMDB0001889	28177
HMDB0001890	28939
HMDB0001891	42682
HMDB0001892	28869
HMDB0001893	18145
HMDB0001894	2877
HMDB0001895	16914
HMDB0001896	114833
HMDB0001897	332416
HMDB0001898	29026
HMDB0001900	74168
HMDB0001901	16586
HMDB0001902	554079
HMDB0001903	17823
HMDB0001904	44454
HMDB0001906	27971
HMDB0001913	77260
HMDB0001915	2567
HMDB0001917	4551
HMDB0001919	4975
HMDB0001920	4470
HMDB0001921	6801
HMDB0001922	3764
HMDB0001923	7476
HMDB0001924	2904
HMDB0001925	5855
HMDB0001926	4903
HMDB0001927	4636
HMDB0001928	5778
HMDB0001929	63598
HMDB0001930	8776
HMDB0001932	6904
HMDB0001933	47426
HMDB0001934	17688
HMDB0001935	87732
HMDB0001936	51380
HMDB0001937	2549
HMDB0001938	43755
HMDB0001939	6715
HMDB0001940	9671
HMDB0001941	3183
HMDB0001942	36
HMDB0001943	51209
HMDB0001944	52010
HMDB0001954	37100
HMDB0001958	49189
HMDB0001960	32990
HMDB0001964	16433
HMDB0001965	35032
HMDB0001966	33341
HMDB0001967	16526
HMDB0001970	149031
HMDB0001972	1162549
HMDB0001976	65136
HMDB0001977	36203
HMDB0001979	72595
HMDB0001982	68531
HMDB0001983	17319
HMDB0001984	5062
HMDB0001986	89338
HMDB0001987	68454
HMDB0001988	16817
HMDB0001989	30517
HMDB0001991	48991
HMDB0001993	17899
HMDB0001999	28364
HMDB0002000	27781
HMDB0002001	111517
HMDB0002003	28866
HMDB0002004	2086
HMDB0002005	17016
HMDB0002006	16303
HMDB0002007	77366
HMDB0002009	15473
HMDB0002011	384411
HMDB0002012	46234
HMDB0002013	21949
HMDB0002014	73060
HMDB0002016	242989
HMDB0002017	670
HMDB0002019	17327
HMDB0002022	18349
HMDB0002024	16974
HMDB0002027	89982
HMDB0002030	24103
HMDB0002032	52617
HMDB0002035	32374
HMDB0002036	49709
HMDB0002038	17604
HMDB0002039	36592
HMDB0002040	260249
HMDB0002043	40131
HMDB0002044	1177182
HMDB0002048	17231
HMDB0002050	4593
HMDB0002052	47904
HMDB0002053	90039
HMDB0002054	15478
HMDB0002055	28054
HMDB0002056	90038
HMDB0002057	51341
HMDB0002059	39567
HMDB0002061	16336
HMDB0002062	90022
HMDB0002063	78710
HMDB0002064	17768
HMDB0002065	17248
HMDB0002068	28792
HMDB0002070	30923
HMDB0002072	55501
HMDB0002074	86537
HMDB0002077	17441
HMDB0002078	28024
