hp_id	name
HP:0000001	All
HP:0000002	Abnormality of body height
HP:0000003	Multicystic kidney dysplasia
HP:0000005	Mode of inheritance
HP:0000006	Autosomal dominant inheritance
HP:0000007	Autosomal recessive inheritance
HP:0000008	Abnormality of female internal genitalia
HP:0000009	Functional abnormality of the bladder
HP:0000010	Recurrent urinary tract infections
HP:0000011	Neurogenic bladder
HP:0000012	Urinary urgency
HP:0000013	Hypoplasia of the uterus
HP:0000014	Abnormality of the bladder
HP:0000015	Bladder diverticulum
HP:0000016	Urinary retention
HP:0000017	Nocturia
HP:0000019	Urinary hesitancy
HP:0000020	Urinary incontinence
HP:0000021	Megacystis
HP:0000022	Abnormality of male internal genitalia
HP:0000023	Inguinal hernia
HP:0000024	Prostatitis
HP:0000025	Functional abnormality of male internal genitalia
HP:0000026	Male hypogonadism
HP:0000027	Azoospermia
HP:0000028	Cryptorchidism
HP:0000029	Testicular atrophy
HP:0000030	Testicular gonadoblastoma
HP:0000031	Epididymitis
HP:0000032	Abnormality of male external genitalia
HP:0000033	Ambiguous genitalia, male
HP:0000034	Hydrocele testis
HP:0000035	Abnormal testis morphology
HP:0000036	Abnormality of the penis
HP:0000037	Male pseudohermaphroditism
HP:0000039	Epispadias
HP:0000040	Long penis
HP:0000041	Chordee
HP:0000042	Absent external genitalia
HP:0000044	Hypogonadotrophic hypogonadism
HP:0000045	Abnormality of the scrotum
HP:0000046	Scrotal hypoplasia
HP:0000047	Hypospadias
HP:0000048	Bifid scrotum
HP:0000049	Shawl scrotum
HP:0000050	Hypoplastic male external genitalia
HP:0000051	Perineal hypospadias
HP:0000052	Urethral atresia, male
HP:0000053	Macroorchidism
HP:0000054	Micropenis
HP:0000055	Abnormality of female external genitalia
HP:0000056	Abnormality of the clitoris
HP:0000058	Abnormality of the labia
HP:0000059	Hypoplastic labia majora
HP:0000060	Clitoral hypoplasia
HP:0000061	Ambiguous genitalia, female
HP:0000062	Ambiguous genitalia
HP:0000063	Fused labia minora
HP:0000064	Hypoplastic labia minora
HP:0000065	Labial hypertrophy
HP:0000066	Labial hypoplasia
HP:0000067	Urethral atresia, female
HP:0000068	Urethral atresia
HP:0000069	Abnormality of the ureter
HP:0000070	Ureterocele
HP:0000071	Ureteral stenosis
HP:0000072	Hydroureter
HP:0000073	Ureteral duplication
HP:0000074	Ureteropelvic junction obstruction
HP:0000075	Renal duplication
HP:0000076	Vesicoureteral reflux
HP:0000077	Abnormality of the kidney
HP:0000078	Abnormality of the genital system
HP:0000079	Abnormality of the urinary system
HP:0000080	Abnormality of reproductive system physiology
HP:0000081	Duplicated collecting system
HP:0000083	Renal insufficiency
HP:0000085	Horseshoe kidney
HP:0000086	Ectopic kidney
HP:0000089	Renal hypoplasia
HP:0000090	Nephronophthisis
HP:0000091	Abnormal renal tubule morphology
HP:0000092	Tubular atrophy
HP:0000093	Proteinuria
HP:0000095	Abnormality of renal glomerulus morphology
HP:0000096	Glomerulosclerosis
HP:0000097	Focal segmental glomerulosclerosis
HP:0000098	Tall stature
HP:0000099	Glomerulonephritis
HP:0000100	Nephrotic syndrome
HP:0000103	Polyuria
HP:0000104	Renal agenesis
HP:0000105	Enlarged kidney
HP:0000107	Renal cyst
HP:0000108	Renal corticomedullary cysts
HP:0000110	Renal dysplasia
HP:0000111	Renal juxtaglomerular cell hypertrophy/hyperplasia
HP:0000112	Nephropathy
HP:0000113	Polycystic kidney dysplasia
HP:0000114	Proximal tubulopathy
HP:0000117	Renal phosphate wasting
HP:0000118	Phenotypic abnormality
HP:0000119	Abnormality of the genitourinary system
HP:0000121	Nephrocalcinosis
HP:0000122	Unilateral renal agenesis
HP:0000123	Nephritis
HP:0000124	Renal tubular dysfunction
HP:0000125	Pelvic kidney
HP:0000126	Hydronephrosis
HP:0000127	Renal salt wasting
HP:0000128	Renal potassium wasting
HP:0000130	Abnormality of the uterus
HP:0000131	Uterine leiomyoma
HP:0000132	Menorrhagia
HP:0000133	Gonadal dysgenesis
HP:0000134	Female hypogonadism
HP:0000135	Hypogonadism
HP:0000136	Bifid uterus
HP:0000137	Abnormality of the ovary
HP:0000138	Ovarian cyst
HP:0000139	Uterine prolapse
HP:0000140	Abnormality of the menstrual cycle
HP:0000141	Amenorrhea
HP:0000142	Abnormal vagina morphology
HP:0000143	Rectovaginal fistula
HP:0000144	Decreased fertility
HP:0000145	Transverse vaginal septum
HP:0000147	Polycystic ovaries
HP:0000148	Vaginal atresia
HP:0000149	Ovarian gonadoblastoma
HP:0000150	Gonadoblastoma
HP:0000151	Aplasia of the uterus
HP:0000152	Abnormality of head or neck
HP:0000153	Abnormality of the mouth
HP:0000154	Wide mouth
HP:0000155	Oral ulcer
HP:0000157	Abnormality of the tongue
HP:0000158	Macroglossia
HP:0000159	Abnormal lip morphology
HP:0000160	Narrow mouth
HP:0000161	Median cleft lip
HP:0000162	Glossoptosis
HP:0000163	Abnormal oral cavity morphology
HP:0000164	Abnormality of the dentition
HP:0000166	Severe periodontitis
HP:0000168	Abnormality of the gingiva
HP:0000169	Gingival fibromatosis
HP:0000171	Microglossia
HP:0000172	Abnormality of the uvula
HP:0000174	Abnormal palate morphology
HP:0000175	Cleft palate
HP:0000176	Submucous cleft hard palate
HP:0000177	Abnormality of upper lip
HP:0000178	Abnormality of lower lip
HP:0000179	Thick lower lip vermilion
HP:0000180	Lobulated tongue
HP:0000182	Movement abnormality of the tongue
HP:0000183	Difficulty in tongue movements
HP:0000185	Cleft soft palate
HP:0000187	Broad alveolar ridges
HP:0000188	Short upper lip
HP:0000189	Narrow palate
HP:0000190	Abnormal oral frenulum morphology
HP:0000191	Accessory oral frenulum
HP:0000193	Bifid uvula
HP:0000194	Open mouth
HP:0000196	Lower lip pit
HP:0000197	Abnormal parotid gland morphology
HP:0000198	Absence of Stensen duct
HP:0000199	Tongue nodules
HP:0000200	Short lingual frenulum
HP:0000201	Pierre-Robin sequence
HP:0000202	Oral cleft
HP:0000204	Cleft upper lip
HP:0000205	Pursed lips
HP:0000206	Glossitis
HP:0000207	Triangular mouth
HP:0000211	Trismus
HP:0000212	Gingival overgrowth
HP:0000214	Lip telangiectasia
HP:0000215	Thick upper lip vermilion
HP:0000216	Broad secondary alveolar ridge
HP:0000217	Xerostomia
HP:0000218	High palate
HP:0000219	Thin upper lip vermilion
HP:0000220	Velopharyngeal insufficiency
HP:0000221	Furrowed tongue
HP:0000222	Gingival hyperkeratosis
HP:0000223	Abnormality of taste sensation
HP:0000224	Decreased taste sensation
HP:0000225	Gingival bleeding
HP:0000227	Tongue telangiectasia
HP:0000228	Oral cavity telangiectasia
HP:0000230	Gingivitis
HP:0000232	Everted lower lip vermilion
HP:0000233	Thin vermilion border
HP:0000234	Abnormality of the head
HP:0000235	Abnormality of the fontanelles or cranial sutures
HP:0000236	Abnormality of the anterior fontanelle
HP:0000237	Small anterior fontanelle
HP:0000238	Hydrocephalus
HP:0000239	Large fontanelles
HP:0000240	Abnormality of skull size
HP:0000242	Parietal bossing
HP:0000243	Trigonocephaly
HP:0000244	Brachyturricephaly
HP:0000245	Abnormality of the paranasal sinuses
HP:0000246	Sinusitis
HP:0000248	Brachycephaly
HP:0000250	Dense calvaria
HP:0000252	Microcephaly
HP:0000253	Progressive microcephaly
HP:0000255	Acute sinusitis
HP:0000256	Macrocephaly
HP:0000260	Wide anterior fontanel
HP:0000262	Turricephaly
HP:0000263	Oxycephaly
HP:0000264	Abnormality of the mastoid
HP:0000265	Mastoiditis
HP:0000267	Cranial asymmetry
HP:0000268	Dolichocephaly
HP:0000269	Prominent occiput
HP:0000270	Delayed cranial suture closure
HP:0000271	Abnormality of the face
HP:0000272	Malar flattening
HP:0000273	Facial grimacing
HP:0000274	Small face
HP:0000275	Narrow face
HP:0000276	Long face
HP:0000277	Abnormality of the mandible
HP:0000278	Retrognathia
HP:0000280	Coarse facial features
HP:0000282	Facial edema
HP:0000283	Broad face
HP:0000286	Epicanthus
HP:0000287	Increased facial adipose tissue
