lspcid	name	members
2	TETRAMETHYLAMMONIUM ION	CAS:51-92-3|CAS:75-57-0|CHEBI:CHEBI:46020|CHEBI:CHEBI:7070|CHEMBL:CHEMBL1209651|CHEMBL:CHEMBL2288325|CHEMBL:CHEMBL3187523|CHEMBL:CHEMBL3222017|CHEMBL:CHEMBL46486|DRUGBANK:DB03095|PUBCHEM:6379|PUBCHEM:6380
6	INOSITOL	CAS:488-59-5|CAS:551-72-4|CAS:87-89-8|CHEBI:CHEBI:10642|CHEBI:CHEBI:17268|CHEBI:CHEBI:23927|CHEBI:CHEBI:24848|CHEMBL:CHEMBL1222251|CHEMBL:CHEMBL1950780|CHEMBL:CHEMBL3976780|CHEMBL:CHEMBL468154|DRUGBANK:DB03106|DRUGBANK:DB13178|DRUGBANK:DB15350|HMDB:HMDB0000211|HMDB:HMDB0006088|HMDB:HMDB0034220|HMDB:HMDB0240207|MESH:D007294|PUBCHEM:892
8	LINDANE	CAS:319-86-8|CHEBI:CHEBI:24536|CHEMBL:CHEMBL1874247|CHEMBL:CHEMBL2272381|MESH:D001556|PUBCHEM:727
14	GUANIDINE HYDROCHLORIDE	CAS:113-00-8|CHEBI:CHEBI:32735|CHEBI:CHEBI:42820|CHEMBL:CHEMBL1200728|CHEMBL:CHEMBL3187576|CHEMBL:CHEMBL821|DRUGBANK:DB00536|HMDB:HMDB0001842|HMS-LINCS:11631|PUBCHEM:3520|PUBCHEM:5460839
18	Pentane-1,5-Diamine	CAS:462-94-2|CHEBI:CHEBI:18127|CHEMBL:CHEMBL119296|CHEMBL:CHEMBL3351096|DRUGBANK:DB03854|HMDB:HMDB0002322|MESH:D002103|PUBCHEM:273
22	TETRYLAMMONIUM	CAS:56-34-8|CAS:66-40-0|CHEBI:CHEBI:44296|CHEBI:CHEBI:78161|CHEMBL:CHEMBL2425619|CHEMBL:CHEMBL324254|CHEMBL:CHEMBL434435|CHEMBL:CHEMBL9324|DRUGBANK:DB08837|MESH:D019789|PUBCHEM:5413|PUBCHEM:5946
23	triethylamine	CAS:121-44-8|CAS:13252-13-6|CHEBI:CHEBI:143205|CHEBI:CHEBI:35026|CHEMBL:CHEMBL2004658|CHEMBL:CHEMBL2008338|CHEMBL:CHEMBL2023162|CHEMBL:CHEMBL2023169|CHEMBL:CHEMBL2023171|CHEMBL:CHEMBL2027926|CHEMBL:CHEMBL2027992|CHEMBL:CHEMBL2027993|CHEMBL:CHEMBL2334360|CHEMBL:CHEMBL2365074|CHEMBL:CHEMBL284057|CHEMBL:CHEMBL571181|CHEMBL:CHEMBL571299|HMDB:HMDB0032539|PUBCHEM:114481|PUBCHEM:8471
25	4-Phenylenediamine	CAS:106-50-3|CHEBI:CHEBI:51403|CHEMBL:CHEMBL3561416|CHEMBL:CHEMBL403741|DRUGBANK:DB14141|PUBCHEM:7814
32	TARTARIC ACID	CAS:100-55-0|CAS:147-71-7|CAS:147-73-9|CAS:27761-19-9|CAS:304-59-6|CAS:526-83-0|CAS:60-23-1|CAS:868-14-4|CAS:868-18-8|CHEBI:CHEBI:15671|CHEBI:CHEBI:15672|CHEBI:CHEBI:15673|CHEBI:CHEBI:15674|CHEBI:CHEBI:17141|CHEBI:CHEBI:32034|CHEBI:CHEBI:45213|CHEBI:CHEBI:50386|CHEBI:CHEBI:63017|CHEBI:CHEBI:63019|CHEMBL:CHEMBL1200861|CHEMBL:CHEMBL1235535|CHEMBL:CHEMBL1236315|CHEMBL:CHEMBL1256137|CHEMBL:CHEMBL1324760|CHEMBL:CHEMBL2028510|CHEMBL:CHEMBL2062263|CHEMBL:CHEMBL2105248|CHEMBL:CHEMBL2107168|CHEMBL:CHEMBL2107781|CHEMBL:CHEMBL2219738|CHEMBL:CHEMBL225983|CHEMBL:CHEMBL333714|CHEMBL:CHEMBL3707241|CHEMBL:CHEMBL3763421|CHEMBL:CHEMBL3917380|CHEMBL:CHEMBL602|DRUGBANK:DB00847|DRUGBANK:DB01694|DRUGBANK:DB04145|DRUGBANK:DB09459|DRUGBANK:DB11107|DRUGBANK:DB13707|DRUGBANK:DB14756|HMDB:HMDB0000956|HMDB:HMDB0002991|HMDB:HMDB0029878|HMDB:HMDB0062642|MESH:D003543|MESH:D009540|PUBCHEM:162637|PUBCHEM:23681127|PUBCHEM:24883453|PUBCHEM:439655|PUBCHEM:444305|PUBCHEM:447315|PUBCHEM:6058|PUBCHEM:7510|PUBCHEM:875|PUBCHEM:9357
33	HYDROXYUREA	CAS:127-07-1|CHEBI:CHEBI:44423|CHEMBL:CHEMBL467|DRUGBANK:DB01005|HMDB:HMDB0015140|HMS-LINCS:10525|MESH:D006918|PUBCHEM:3657
