C000009	2776-93-4
C000011	26424-51-1
C000024	10134-60-8
C000025	76270-09-2
C000032	2006-02-2
C000039	34653-48-0
C000047	39301-00-3
C000050	19885-10-0
C000056	25709-16-4
C000058	31078-12-3
C000059	1019-19-8
C000060	28077-96-5
C000062	529-23-7
C000063	4094-36-4
C000064	25887-39-2
C000066	1823-99-0
C000076	30954-71-3
C000078	1140-06-3
C000080	434-43-5
C000085	20123-68-6
C000086	35059-07-5
C000088	89-93-0
C000096	17659-59-5
C000100	26055-63-0
C000101	3714-60-1
C000102	1398-00-1
C000105	1147-98-4
C000108	6714-03-0
C000109	21650-02-2
C000110	673-66-5
C000111	4746-36-5
C000115	51776-39-7
C000119	77124-32-4
C000128	11016-71-0
C000132	3063-89-6
C000133	24868-62-0
C000134	21105-60-2
C000136	4110-66-1
C000140	19623-16-6
C000143	33497-68-6
C000146	12777-41-2
C000148	34014-16-9
C000149	2683-90-1
C000150	935-30-8
C000152	1224-94-8
C000153	9047-13-6
C000156	34047-66-0
C000162	952-92-1
C000164	3377-71-7
C000165	23239-59-0
C000166	6220-32-2
C000167	28356-14-1
C000174	23280-04-8
C000182	36199-70-9
C000183	31766-14-0
C000194	5638-74-4
C000197	98-16-8
C000198	37156-84-6
C000199	7698-92-2
C000200	78673-24-2
C000201	60831-57-4
C000202	1004-00-8
C000205	28696-30-2
C000206	12651-35-3
C000207	25535-11-9
C000209	80-65-9
C000210	23146-60-3
C000215	10180-86-6
C000217	9050-74-2
C000218	19854-90-1
C000226	34098-41-4
C000227	9008-39-3
C000231	34957-04-5
C000232	11003-24-0
C000234	39927-13-4
C000240	7722-06-7
C000249	884-33-3
C000250	19341-60-7
C000252	18766-66-0
C000253	3570-06-7
C000261	460-07-1
C000263	4009-68-1
C000269	33390-21-5
C000272	29103-75-1
C000273	26114-58-9
C000277	17781-31-6
C000278	35761-35-4
C000279	19690-35-8
C000287	29229-36-5
C000290	34244-69-4
C000293	13709-27-8
C000294	68-36-0
C000296	1170-68-9
C000299	12642-93-2
C000307	8067-85-4
C000309	3947-58-8
C000310	16048-36-5
C000311	51541-48-1
C000312	2076-56-4
C000314	35319-96-1
C000317	35231-44-8
C000318	2075-45-8
C000323	21193-80-6
C000324	8062-14-4
C000330	11145-37-2
C000334	3891-33-6
C000335	1633-83-6
C000336	37598-92-8
C000339	6940-92-7
C000343	10513-45-8
C000354	9007-03-8
C000357	33745-21-0
C000362	9012-24-2
C000364	36524-24-0
C000375	12277-55-3
C000384	536-95-8
C000387	11139-61-0
C000390	34566-86-4
C000392	26612-48-6
C000393	11028-42-5
C000395	22561-27-9
C000402	11139-62-1
C000403	21050-95-3
C000404	16634-82-5
C000405	22304-33-2
C000408	56000-13-6
C000410	23456-71-5
C000414	21889-00-9
C000415	36373-29-2
C000417	2533-31-5
C000419	37699-28-8
C000428	20794-96-1
C000430	2446-23-3
C000436	33860-88-7
C000438	3365-99-9
C000439	24026-76-4
C000440	12379-49-6
C000441	2620-53-3
C000442	20624-45-7
C000443	10473-70-8
C000455	2880-89-9
C000461	17124-38-8
C000462	9061-28-3
C000465	38264-25-4
C000467	39110-99-1
C000471	5541-92-4
C000472	16984-59-1
C000475	601-57-0
C000481	34044-10-5
C000482	35906-51-5
C000483	606-59-7
C000485	1405-39-6
C000487	37209-30-6
C000493	107-81-3
C000503	27280-85-9
C000507	11078-23-2
C000509	35536-76-6
C000511	548-37-8
C000513	76705-39-0
C000516	1222-87-3
C000521	54990-88-4
C000522	6162-76-1
C000531	30270-78-1
C000533	32359-20-9
C000536	3173-53-3
C000538	712-43-6
C000539	28834-06-2
C000540	5452-37-9
C000545	27783-27-3
C000546	465-84-9
C000552	19466-41-2
C000553	28098-44-4
C000577	974-76-5
C000578	4971-24-8
C000599	80206-90-2
C000600213	85527-86-2
C000600769	549-17-7
C000626894	88179-67-3
C000628417	26252-11-9
C000628552	10022-28-3
C000628554	69178-43-4
C000628561	24817-51-4
C000628563	69486-14-2
C000628565	55719-85-2
C000628572	59259-38-0
C000628580	68141-17-3
C000654	3577-89-7
C000659	23609-20-3
C000668	20964-06-1
C000669	19065-92-0
C000670	34827-06-0
C000674	36067-56-8
C000676	58516-31-7
C000687	936-02-7
C000723234	13184-86-6
C000723235	59471-80-6
C000723238	68228-05-7
C000723239	17369-59-4
C000766	35418-52-1
C000795	17332-61-5
C000802	79084-78-9
C000813	79084-79-0
C000820	6730-29-6
C000841	8054-81-7
C000852	28307-19-9
C000856	26660-76-4
C000857	11094-60-3
C000859	35922-60-2
C000862	57499-40-8
C000863	27527-13-5
C000864	11051-27-7
C000866	7200-28-4
C000868	76448-36-7
C000874	27259-98-9
C000875	3580-77-6
C000877	11120-15-3
C000879	32472-43-8
C000880	25030-32-4
C000882	438-06-2
C000889	76481-55-5
C000893	299-89-8
C000896	1801-72-5
C000898	13794-65-5
C000899	38595-00-5
C000902	36039-40-4
C000904	35865-33-9
C000905	52503-65-8
C000908	820-75-7
C000910	29733-04-8
C000914	833-48-7
C000915	256-81-5
C000916	12224-46-3
C000917	1111-27-9
C000919	2105-20-6
C000922	27125-68-4
C000923	23620-85-1
C000926	27891-15-2
C000932	1199-28-6
C000934	75847-67-5
C000935	23256-01-1
C000938	33466-16-9
C000947	34919-66-9
C000951	7591-19-7
C000956	33189-65-0
C000958	2886-83-1
C000959	1842-31-5
C000961	3143-89-3
C000964	4481-08-7
C000966	3786-76-3
C000967	5297-10-9
C000969	35412-73-8
C000973	2434-49-3
C000974	3408-30-8
C000975	31785-60-1
C000976	1218-98-0
C000977	1183-35-3
C000978	2134-76-1
C000979	18504-81-9
C000981	17605-92-4
C000983	32467-95-1
C000988	37520-06-2
C000992	79329-88-7
C000993	34269-89-1
C000996	26539-01-5
C001002	660-27-5
C001005	2641-06-7
C001009	76391-74-7
C001011	26912-16-3
C001013	31847-13-9
C001021	33124-27-5
C001025	2238-88-2
C001026	1431-39-6
C001028	13450-72-1
C001030	33406-34-7
C001034	14652-09-6
C001037	431-14-1
C001039	3810-51-3
C001049	13256-32-1
C001053	23419-78-5
C001055	24339-08-0
C001060	22198-93-2
C001066	3980-52-7
C001068	25709-51-7
C001071	51824-83-0
C001081	494-72-4
C001082	26444-49-5
C001084	56866-34-3
C001090	10087-89-5
C001092	34604-62-1
C001097	1562-95-4
C001098	28278-63-9
C001105	2127-03-9
C001106	3354-42-5
C001107	18181-26-5
C001116	76404-05-2
C001118	76404-03-0
C001119	76404-01-8
C001121	8055-95-6
C001123	3571-34-4
C001130	9013-42-7
C001141	28666-20-8
C001147	54510-89-3
C001149	51023-58-6
C001154	77097-84-8
C001155	6673-68-3
C001157	8003-26-7
C001164	34254-87-0
C001166	3180-56-1
C001168	33644-10-9
C001171	4329-03-7
C001172	2715-68-6
C001174	701-78-0
C001175	32451-42-6
C001176	1950-36-3
C001177	37622-36-9
C001178	4234-79-1
C001179	25331-92-4
C001181	14984-65-7
C001182	13194-48-4
C001183	39630-55-2
C001187	624-79-3
C001189	32845-42-4
C001195	842-00-2
C001199	33854-15-8
C001200	6750-25-0
C001201	77430-01-4
C001205	37338-39-9
C001206	77257-32-0
C001208	8055-46-7
C001220	51005-25-5
