D001343	GO:0006914
D002448	GO:0007155
D002453	GO:0007049
D002454	GO:0030154
D002465	GO:0048870
D002914	GO:0042627
D004260	GO:0006281
D004705	GO:0006897
D004721	GO:0005783
D006019	GO:0006096
D007249	GO:0006954
D008660	GO:0008152
D009336	GO:0070265
D012374	GO:0120200
D014158	GO:0006351
D014176	GO:0006412
D015398	GO:0007165
D016193	GO:0051318
D016922	GO:0090398
D016923	GO:0008219
D017209	GO:0006915
D018919	GO:0001525
D048708	GO:0016049
D049109	GO:0008283
D058750	GO:0001837
D059748	GO:0006508
D059765	GO:0035825
D059767	GO:0000725
