Source Code	Target Coding Scheme	Target Code
C101089	HGNC	18037
C101092	HGNC	20893
C101096	HGNC	24224
C101099	HGNC	23438
C101102	HGNC	23445
C101105	HGNC	13590
C101108	HGNC	4880
C101111	HGNC	10783
C101114	HGNC	12453
C101117	HGNC	12851
C101121	HGNC	23019
C101127	HGNC	10879
C101145	HGNC	11506
C101149	HGNC	3050
C101152	HGNC	11249
C101155	HGNC	1709
C101158	HGNC	4947
C101284	HGNC	8980
C101287	HGNC	9841
C101291	HGNC	29034
C101298	HGNC	24358
C101301	HGNC	1734
C101307	HGNC	22944
C101310	HGNC	9476
C101336	HGNC	10050
C101341	HGNC	728
C101344	HGNC	2384
C101347	HGNC	11355
C101350	HGNC	12509
C101353	HGNC	3128
C101356	HGNC	20610
C101360	HGNC	30207
C101364	HGNC	6284
C101373	HGNC	11803
C101376	HGNC	10827
C101379	HGNC	11784
C101382	HGNC	18006
C101386	HGNC	30594
C101390	HGNC	12022
C101393	HGNC	3471
C101396	HGNC	19231
C101399	HGNC	28337
C101402	HGNC	4601
C101405	HGNC	4454
C101408	HGNC	11843
C101411	HGNC	24814
C101414	HGNC	13203
C101417	HGNC	32207
C101420	HGNC	19102
C101423	HGNC	16953
C101426	HGNC	6324
C101429	HGNC	26157
C101432	HGNC	10661
C101435	HGNC	11020
C101438	HGNC	10825
C101441	HGNC	18806
C101444	HGNC	4764
C101447	HGNC	30991
C101450	HGNC	18145
C101453	HGNC	21118
C101456	HGNC	19034
C101459	HGNC	19035
C101464	HGNC	25292
C101467	HGNC	28843
C101470	HGNC	11531
C101473	HGNC	29006
C101476	HGNC	17052
C101479	HGNC	10700
C101482	HGNC	4507
C101485	HGNC	4504
C101488	HGNC	29914
C101492	HGNC	11280
C101495	HGNC	9249
C101498	HGNC	25966
C101501	HGNC	13539
C101504	HGNC	15831
C101507	HGNC	25463
C101544	HGNC	1232
C101547	HGNC	12440
C101550	HGNC	8547
C101553	HGNC	7533
C101556	HGNC	15449
C101560	HGNC	10810
C101563	HGNC	10886
C101566	HGNC	2745
C101569	HGNC	30661
C101572	HGNC	30660
C101575	HGNC	12632
C101578	HGNC	1603
C101581	HGNC	3818
C101584	HGNC	11700
C101587	HGNC	27962
C101591	HGNC	5120
C101594	HGNC	22953
C101600	HGNC	790
C101603	HGNC	10074
C101606	HGNC	11148
C101609	HGNC	30288
C101612	HGNC	25321
C101615	HGNC	28426
C101618	HGNC	13054
C101621	HGNC	30500
C101624	HGNC	7316
C101627	HGNC	21045
C101630	HGNC	4168
C101633	HGNC	31412
C101636	HGNC	8060
C101639	HGNC	11602
C101644	HGNC	8824
C101647	HGNC	5021
C101650	HGNC	4218
C101653	HGNC	15448
C101656	HGNC	10000
C101659	HGNC	26944
C101662	HGNC	25018
C101665	HGNC	31868
C101719	HGNC	5155
C101723	HGNC	3188
C101727	HGNC	9887
C101730	HGNC	18185
C101733	HGNC	4776
C101736	HGNC	464
C101739	HGNC	7962
C101742	HGNC	7963
C101745	HGNC	19245
C101748	HGNC	4498
C101751	HGNC	18788
C101754	HGNC	13733
C101757	HGNC	12403
C101760	HGNC	7156
C101764	HGNC	921
C101767	HGNC	30022
C101770	HGNC	11757
C101775	HGNC	16028
C101781	HGNC	682
C101784	HGNC	3155
C101798	HGNC	25829
C101801	HGNC	11748
C102428	HGNC	18116
C102438	HGNC	10494
C102441	HGNC	20153
C102445	HGNC	10588
C102448	HGNC	10585
C102453	HGNC	25387
C102456	HGNC	23319
C102459	HGNC	4586
C102462	HGNC	1664
C102465	HGNC	1630
C102472	HGNC	12856
C102475	HGNC	12744
C102478	HGNC	30871
C102481	HGNC	12565
C102484	HGNC	3711
C102487	HGNC	12336
C102490	HGNC	14067
C102493	HGNC	14065
C102496	HGNC	1775
C102499	HGNC	3165
C102502	HGNC	6349
C102505	HGNC	9753
C102508	HGNC	5023
C102511	HGNC	2488
C102514	HGNC	10911
C102518	HGNC	22950
C102521	HGNC	18040
C102524	HGNC	6852
C102528	HGNC	13557
C102537	HGNC	11254
C102543	HGNC	3540
C102549	HGNC	18368
C102552	HGNC	19133
C102761	HGNC	11305
C102765	HGNC	16700
C102768	HGNC	1666
C102771	HGNC	14935
C102774	HGNC	457
C102777	HGNC	10571
C102780	HGNC	17074
C102791	HGNC	4808
C102794	HGNC	6606
C102797	HGNC	2974
C102800	HGNC	9957
C102803	HGNC	29605
C102806	HGNC	24565
C102809	HGNC	8874
C102812	HGNC	9601
C102815	HGNC	28652
C102818	HGNC	16280
C102822	HGNC	20249
C102825	HGNC	9451
C102828	HGNC	3255
C102831	HGNC	5036
C102886	HGNC	6532
C102889	HGNC	19085
C102892	HGNC	11190
C102895	HGNC	15859
C102899	HGNC	17587
C102902	HGNC	9323
C102907	HGNC	28605
C102910	HGNC	11398
C102913	HGNC	20064
C102916	HGNC	10062
C102919	HGNC	17257
C102922	HGNC	7159
C102925	HGNC	11590
C102928	HGNC	3372
C102931	HGNC	14888
C102934	HGNC	26756
C102937	HGNC	11139
C102940	HGNC	7082
C102943	HGNC	8972
C102946	HGNC	8973
C102949	HGNC	21685
C102952	HGNC	8522
C102957	HGNC	14402
C102960	HGNC	25522
C102963	HGNC	12862
C102966	HGNC	16267
C102969	HGNC	5362
C102973	HGNC	16651
C103235	HGNC	2545
C103874	HGNC	10680
C103877	HGNC	35
C103880	HGNC	55
C103883	HGNC	53
C103886	HGNC	84
C103891	HGNC	18356
C103894	HGNC	23675
C103897	HGNC	16066
C103900	HGNC	735
C103903	HGNC	18860
C103906	HGNC	23456
C103925	HGNC	429
C103928	HGNC	663
C103931	HGNC	713
C103938	HGNC	929
C103941	HGNC	3824
C103944	HGNC	4248
C103947	HGNC	10937
C103950	HGNC	56
C103953	HGNC	13635
C103957	HGNC	978
C103960	HGNC	785
C103963	HGNC	14082
C103966	HGNC	132
C103971	HGNC	130
C103974	HGNC	24040
C103977	HGNC	24041
C103980	HGNC	37245
C103985	HGNC	7856
C103988	HGNC	1549
C103992	HGNC	14333
C103995	HGNC	7413
C103999	HGNC	5232
C104000	HGNC	5233
C104036	HGNC	5210
C104039	HGNC	991
C104042	HGNC	24190
C104047	HGNC	2492
C104051	HGNC	1383
C104054	HGNC	2532
C104060	HGNC	10903
C104063	HGNC	1631
C104066	HGNC	16961
C104069	HGNC	18171
C104072	HGNC	11922
C104075	HGNC	1694
C104078	HGNC	11937
C104085	HGNC	14460
C104088	HGNC	3466
C104091	HGNC	20945
C104094	HGNC	21014
C104097	HGNC	16665
C104105	HGNC	12539
C104108	HGNC	1706
C104111	HGNC	1723
C104114	HGNC	1814
C104117	HGNC	1834
C104120	HGNC	1161
C104123	HGNC	21699
C104126	HGNC	23749
C104129	HGNC	1608
C104132	HGNC	13258
C104135	HGNC	1727
C104138	HGNC	2295
C104141	HGNC	30185
