ID	symbol	synonyms	ensembl
2003	Asip	A;ASP	ENSRNOG00000017701
2004	A2m	A2MAC1;A2m1;A2maa;A2mb;AI893533;LOC100911545;MGC114358;Mam;RATA2MAC1	ENSRNOG00000028896;ENSRNOG00000045772
2006	Aanat	AA-NAT;Nat4	ENSRNOG00000011182;ENSRNOG00055029977;ENSRNOG00060030684;ENSRNOG00065004543
2007	Abcd3	PMP70;PMP70, 70-kDa peroxisomal membrane protein;Pxmp1	ENSRNOG00000011929;ENSRNOG00055026677;ENSRNOG00060002776;ENSRNOG00065023022
2011	Acadl	LCAD	ENSRNOG00000012966;ENSRNOG00055010322;ENSRNOG00060023597;ENSRNOG00065028069
2012	Acadm	MCAD;MCAD, medium chain acyl-CoA dehydrogenase	ENSRNOG00000009845;ENSRNOG00055028387;ENSRNOG00060001604;ENSRNOG00065012684
2013	Acadsb	2-MEBCAD;LOC103691247;SBCAD	ENSRNOG00000020624;ENSRNOG00055030359;ENSRNOG00060032539;ENSRNOG00065012861
2014	Acadvl	MGC93660;VLCAD;VLCAD, very-long-chain acyl-CoA dehydrogenase	ENSRNOG00000018114
2015	Acsl1	ACS;Acas;COAA;Facl2;LACS 1	ENSRNOG00000010633;ENSRNOG00055011492;ENSRNOG00060007558;ENSRNOG00065015240
2016	Acat1		ENSRNOG00000007862;ENSRNOG00055027672;ENSRNOG00060016362;ENSRNOG00065017528
2017	Asic2	ASIC2a/ASIC2b;Accn1;BNC1;BNC1k;BNaC1;MDEG;MDEG1;MDEG2	ENSRNOG00000058308
2018	Acly	ACL;Clatp;MGC124629	ENSRNOG00000016924
2019	Aco1	AH;Acon1;IRE-BP 1;IRP1	ENSRNOG00000005849
2020	Acp1	LMW-PTP-I, low molecular weight phosphotyrosine protein phosphatase isozyme 1	ENSRNOG00000005260;ENSRNOG00055005874;ENSRNOG00060008086;ENSRNOG00065010681
2021	Acp2	LAP;LMW-PTP-II, low molecular weight phosphotyrosine protein phosphatase isozyme 2	ENSRNOG00000013594
2022	Acp5	TR-AP;TTRRAP;Trap	ENSRNOG00000046261
2023	Acp3	5'-NT;Acpp;Acpp11;FRAP;Ppal;RNACPP11;pap	ENSRNOG00000011820;ENSRNOG00055012887;ENSRNOG00060008023;ENSRNOG00065007977
2024	Acr	Acro	ENSRNOG00000029762;ENSRNOG00055012188;ENSRNOG00060022682;ENSRNOG00065017336
2025	Acta1		ENSRNOG00000017786;ENSRNOG00000058039;ENSRNOG00055021900;ENSRNOG00060017592;ENSRNOG00065018197
2026	Actc1	MGC156490	ENSRNOG00000008536;ENSRNOG00000058039;ENSRNOG00055002780;ENSRNOG00060020335;ENSRNOG00065015814
2027	Actg2	MGC105507;SMGA	ENSRNOG00000029401;ENSRNOG00000058039;ENSRNOG00055012722;ENSRNOG00060003018;ENSRNOG00065016044
2028	Acvr2b	ActRIIB, type II activin receptor B	ENSRNOG00000014477
2029	Acvrl1	Alk1;MGC91691;R-3;R3;SKR3;TSR-I	ENSRNOG00000028713;ENSRNOG00055028741;ENSRNOG00060015566;ENSRNOG00065022556
2030	Acy1	ACY IA;ACY IB;ACY-1A;ACY-1B;Acy1a;Acy1b	ENSRNOG00000011189;ENSRNOG00055013030;ENSRNOG00060030246;ENSRNOG00065008472
2031	Ada	MGC108610	ENSRNOG00000010265;ENSRNOG00055003913;ENSRNOG00060001531;ENSRNOG00065025525
2032	Adam10	ADAM 10;LOC501019;MADM;RGD1566370	ENSRNOG00000054257;ENSRNOG00055006672;ENSRNOG00060018682;ENSRNOG00065016421
2033	Adarb1	Adar2;RED1	ENSRNOG00000001227
2034	Adcy4	MGC93493	ENSRNOG00000020401
