EntrezGene,Symbol
861,RUNX1
7020,TFAP2A
196,AHR
367,AR
5079,PAX5
7025,NR2F1
1385,CREB1
1869,E2F1
4783,NFIL3
2019,EN1
2002,ELK1
2295,FOXF2
2297,FOXD1
9314,KLF4
94234,FOXQ1
27022,FOXD3
2299,FOXI1
3131,HLF
6927,HNF1A
3170,FOXA2
4807,NHLH1
3659,IRF1
3660,IRF2
4205,MEF2A
4149,MAX
4800,NFYA
2551,GABPA
5468,PPARG
5076,PAX2
5078,PAX4
5080,PAX6
5087,PBX1
6239,RREB1
7421,VDR
2005,ELK4
6662,SOX9
64321,SOX17
6667,SP1
6688,SPI1
6689,SPIB
6722,SRF
6660,SOX5
7702,ZNF143
7003,TEAD1
6929,TCF3
7391,USF1
4602,MYB
5966,REL
1050,CEBPA
6935,ZEB1
4613,MYCN
4790,NFKB1
7157,TP53
5970,RELA
6908,TBP
84654,SPZ1
2099,ESR1
2908,NR3C1
3172,HNF4A
7376,NR1H2
6256,RXRA
9935,MAFB
4782,NFIC
579,NKX3-2
4824,NKX3-1
8022,LHX3
2001,ELF5
6772,STAT1
5978,REST
10664,CTCF
2623,GATA1
6886,TAL1
2103,ESRRB
5460,POU5F1
6657,SOX2
6774,STAT3
7543,ZFX
4609,MYC
3169,FOXA1
4780,NFE2L2
4773,NFATC2
6928,HNF1B
1879,EBF1
3642,INSM1
54738,FEV
2309,FOXO3
4929,NR4A2
1958,EGR1
5324,PLAG1
10002,NR2E3
2100,ESR2
405,ARNT
23394,ADNP
22850,ADNP2
165,AEBP1
121536,AEBP2
4299,AFF1
2334,AFF2
3899,AFF3
27125,AFF4
25909,AHCTF1
57491,AHRR
326,AIRE
80709,AKNA
8092,ALX1
257,ALX3
60529,ALX4
55139,ANKZF1
503582,ARGFX
2909,ARHGAP35
8289,ARID1A
57492,ARID1B
196528,ARID2
1820,ARID3A
10620,ARID3B
5926,ARID4A
51742,ARID4B
10865,ARID5A
84159,ARID5B
9915,ARNT2
406,ARNTL
56938,ARNTL2
170302,ARX
429,ASCL1
430,ASCL2
55870,ASH1L
9070,ASH2L
466,ATF1
1386,ATF2
467,ATF3
468,ATF4
22809,ATF5
22926,ATF6
1388,ATF6B
11016,ATF7
474,ATOH1
220202,ATOH7
84913,ATOH8
546,ATRX
6314,ATXN7
571,BACH1
60468,BACH2
56751,BARHL1
343472,BARHL2
56033,BARX1
8538,BARX2
10538,BATF
116071,BATF2
55509,BATF3
56987,BBX
53335,BCL11A
64919,BCL11B
602,BCL3
604,BCL6
255877,BCL6B
9774,BCLAF1
168620,BHLHA15
80823,BHLHB9
27319,BHLHE22
128408,BHLHE23
8553,BHLHE40
79365,BHLHE41
650,BMP2
646,BNC1
54796,BNC2
51027,BOLA1
388962,BOLA3
2186,BPTF
672,BRCA1
390259,BSX
745,C11orf9
91748,C14orf43
25943,C20orf194
23261,CAMTA1
23125,CAMTA2
23589,CARHSP1
54897,CASZ1
865,CBFB
283847,CCDC79
988,CDC5L
1044,CDX1
1045,CDX2
1051,CEBPB
1052,CEBPD
1053,CEBPE
1054,CEBPG
10153,CEBPZ
80152,CENPT
204219,CERS3
253782,CERS6
283489,CHAMP1
23152,CIC
25792,CIZ1
9575,CLOCK
4850,CNOT4
57585,CRAMP1L
10488,CREB3
90993,CREB3L1
64764,CREB3L2
84699,CREB3L3
148327,CREB3L4
9586,CREB5
1387,CREBBP
1389,CREBL2
58487,CREBZF
1390,CREM
1406,CRX
8531,CSDA
64651,CSRNP1
81566,CSRNP2
80034,CSRNP3
140690,CTCFL
1523,CUX1
23316,CUX2
30827,CXXC1
1602,DACH1
117154,DACH2
1628,DBP
120237,DBX1
440097,DBX2
1643,DDB2
1649,DDIT3
10522,DEAF1
1745,DLX1
1746,DLX2
1747,DLX3
1748,DLX4
1749,DLX5
1750,DLX6
55929,DMAP1
127343,DMBX1
1761,DMRT1
10655,DMRT2
63951,DMRTA1
63950,DMRTA2
63948,DMRTB1
63946,DMRTC2
9988,DMTF1
64215,DNAJC1
27000,DNAJC2
134218,DNAJC21
1786,DNMT1
1788,DNMT3A
1789,DNMT3B
29947,DNMT3L
8193,DPF1
5977,DPF2
8110,DPF3
1810,DR1
10589,DRAP1
644168,DRGX
1870,E2F2
1871,E2F3
1874,E2F4
1875,E2F5
1876,E2F6
144455,E2F7
79733,E2F8
1877,E4F1
64641,EBF2
253738,EBF3
57593,EBF4
1959,EGR2
1960,EGR3
1961,EGR4
26298,EHF
1997,ELF1
1998,ELF2
1999,ELF3
2000,ELF4
2004,ELK3
2016,EMX1
2018,EMX2
2020,EN2
2023,ENO1
8320,EOMES
2034,EPAS1
2077,ERF
2078,ERG
2101,ESRRA
2104,ESRRG
80712,ESX1
2113,ETS1
2114,ETS2
2115,ETV1
2116,ETV2
2117,ETV3
440695,ETV3L
2118,ETV4
2119,ETV5
2120,ETV6
51513,ETV7
2128,EVX1
2145,EZH1
2146,EZH2
340069,FAM170A
222894,FERD3L
389549,FEZF1
55079,FEZF2
84922,FIZ1
2313,FLI1
2353,FOS
2354,FOSB
8061,FOSL1
2355,FOSL2
3171,FOXA3
27023,FOXB1
442425,FOXB2
2296,FOXC1
2303,FOXC2
2306,FOXD2
2304,FOXE1
2301,FOXE3
2294,FOXF1
2290,FOXG1
8928,FOXH1
399823,FOXI2
344167,FOXI3
2302,FOXJ1
55810,FOXJ2
22887,FOXJ3
221937,FOXK1
3607,FOXK2
2300,FOXL1
668,FOXL2
2305,FOXM1
8456,FOXN1
3344,FOXN2
1112,FOXN3
121643,FOXN4
2308,FOXO1
4303,FOXO4
100132074,FOXO6
27086,FOXP1
93986,FOXP2
50943,FOXP3
116113,FOXP4
283150,FOXR1
139628,FOXR2
2307,FOXS1
8880,FUBP1
8939,FUBP3
2553,GABPB1
126626,GABPB2
2624,GATA2
