SL-0476	GO:0031672
SL-0002	GO:0020022
SL-0316	GO:0033985
SL-0003	GO:0033102
SL-0007	GO:0001669
SL-0004	GO:0002079
SL-0005	GO:0043160
SL-0006	GO:0002080
SL-0447	GO:0002081
SL-0008	GO:0030479
SL-0009	GO:0005912
SL-0010	GO:0033095
SL-0317	GO:0034422
SL-0011	GO:0032578
SL-0012	GO:0009501
SL-0013	GO:0033098
SL-0014	GO:0033097
SL-0015	GO:0016324
SL-0016	GO:0032579
SL-0017	GO:0016327
SL-0018	GO:0020011
SL-0019	GO:0048046
SL-0306	GO:0009288
SL-0020	GO:0033099
SL-0021	GO:0033111
SL-0023	GO:0005776
SL-0318	GO:0034423
SL-0022	GO:0000421
SL-0279	GO:0030424
SL-0489	GO:0097691
SL-0307	GO:0009288
SL-0142	GO:0009425
SL-0358	GO:0009420
SL-0357	GO:0009424
SL-0454	GO:0000935
SL-0024	GO:0009925
SL-0025	GO:0005604
SL-0026	GO:0016323
SL-0472	GO:0032059
SL-0027	GO:0005933
SL-0028	GO:0033101
SL-0029	GO:0005935
SL-0030	GO:0005934
SL-0031	GO:0015030
SL-0032	GO:0033150
SL-0033	GO:0042603
SL-0034	GO:0031470
SL-0035	GO:0005901
SL-0138	GO:0005938
SL-0036	GO:0031975
SL-0037	GO:0005886
SL-0038	GO:0030054
SL-0039	GO:0005886
SL-0040	GO:0009279
SL-0280	GO:0042995
SL-0455	GO:0030428
SL-0310	GO:0009986
SL-0456	GO:0051286
SL-0041	GO:0005618
SL-0042	GO:0042717
SL-0043	GO:0009579
SL-0044	GO:0031977
SL-0045	GO:0042651
SL-0046	GO:0005814
SL-0047	GO:0000775
SL-0048	GO:0005815
SL-0049	GO:0009507
SL-0050	GO:0009941
SL-0051	GO:0009706
SL-0052	GO:0031972
SL-0053	GO:0031969
SL-0139	GO:0042644
SL-0054	GO:0009707
SL-0055	GO:0009570
SL-0056	GO:0009534
SL-0057	GO:0009543
SL-0058	GO:0009535
SL-0059	GO:0046858
SL-0060	GO:0033105
SL-0061	GO:0042583
SL-0349	GO:0034466
SL-0062	GO:0042584
SL-0063	GO:0009509
SL-0064	GO:0046862
SL-0065	GO:0009575
SL-0468	GO:0005694
SL-0066	GO:0005929
SL-0305	GO:0060170
SL-0067	GO:0005801
SL-0068	GO:0033106
SL-0069	GO:0005905
SL-0070	GO:0030136
SL-0071	GO:0030665
SL-0467	GO:0032154
SL-0072	GO:0005905
SL-0073	GO:0000331
SL-0074	GO:0031164
SL-0075	GO:0030137
SL-0076	GO:0030663
SL-0077	GO:0030134
SL-0078	GO:0012507
SL-0079	GO:0001533
SL-0080	GO:0033107
SL-0081	GO:0033110
SL-0082	GO:0009842
SL-0479	GO:0033112
SL-0480	GO:0036012
SL-0481	GO:0036014
SL-0083	GO:0033113
SL-0482	GO:0036013
SL-0350	GO:0034060
SL-0277	GO:0009843
