mirbase_id	mirbase_name	database	identifier	label
MI0000001	cel-let-7	RFAM	RF00027	let-7
MI0000001	cel-let-7	WORMBASE	C05G5/12462-12364	
MI0000002	cel-lin-4	RFAM	RF00052	lin-4
MI0000002	cel-lin-4	WORMBASE	F59G1/6156-6249	
MI0000003	cel-mir-1	RFAM	RF00103	mir-1
MI0000003	cel-mir-1	WORMBASE	T09B4/23107-23012	
MI0000004	cel-mir-2	RFAM	RF00047	mir-2
MI0000004	cel-mir-2	WORMBASE	M04C9/29652-29555	
MI0000005	cel-mir-34	WORMBASE	Y41G9A/23565-23469	
MI0000006	cel-mir-35	WORMBASE	Y62F5A/16840-16936	
MI0000007	cel-mir-36	WORMBASE	Y62F5A/16945-17041	
MI0000008	cel-mir-37	WORMBASE	Y62F5A/17065-17162	
MI0000009	cel-mir-38	WORMBASE	Y62F5A/17162-17259	
MI0000010	cel-mir-39	WORMBASE	Y62F5A/17315-17412	
MI0000011	cel-mir-40	WORMBASE	Y62F5A/17411-17507	
MI0000012	cel-mir-41	WORMBASE	Y62F5A/17540-17636	
MI0000013	cel-mir-42	WORMBASE	ZK930/12429-12523	
MI0000014	cel-mir-43	WORMBASE	ZK930/12528-12625	
MI0000015	cel-mir-44	WORMBASE	ZK930/12641-12736	
MI0000016	cel-mir-45	WORMBASE	ZK930/3657-3562	
MI0000017	cel-mir-46	WORMBASE	ZK525/4728-4824	
MI0000018	cel-mir-47	WORMBASE	K02B9/506-602	
MI0000019	cel-mir-48	WORMBASE	WBGene00003039	lin-58
MI0000019	cel-mir-48	ENTREZGENE	260115	lin-58
MI0000020	cel-mir-49	WORMBASE	F19C6/9366-9462	
MI0000021	cel-mir-50	WORMBASE	Y71G12B/98208-98306	
MI0000022	cel-mir-51	RFAM	RF00104	mir-10
MI0000022	cel-mir-51	WORMBASE	F36H1/2915-2816	
MI0000023	cel-mir-52	WORMBASE	Y37A1B/60854-60953	
MI0000024	cel-mir-53	WORMBASE	F36H1/4494-4396	
MI0000025	cel-mir-54	WORMBASE	F09A5/18644-18546	
MI0000026	cel-mir-55	WORMBASE	F09A5/18474-18377	
MI0000027	cel-mir-56	WORMBASE	F09A5/18337-18241	
MI0000028	cel-mir-57	RFAM	RF00104	mir-10
