HGNC ID	Approved Symbol	Approved Name	Status	Synonyms	Entrez Gene ID(supplied by NCBI)	UniProt ID(supplied by UniProt)
HGNC:5	A1BG	alpha-1-B glycoprotein	Approved		1	P04217
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	Approved	FLJ23569	503538	
HGNC:24086	A1CF	APOBEC1 complementation factor	Approved	ACF, ASP, ACF64, ACF65, APOBEC1CF	29974	Q9NQ94
HGNC:6	A1S9T~withdrawn	symbol withdrawn, see UBA1	Symbol Withdrawn			
HGNC:7	A2M	alpha-2-macroglobulin	Approved	FWP007, S863-7, CPAMD5	2	P01023
HGNC:27057	A2M-AS1	A2M antisense RNA 1 (head to head)	Approved		144571	
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	Approved	FLJ25179	144568	A8K2U0
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1	Approved		100874108	
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2	Approved		106478979	
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	Approved		3	
HGNC:10	A2MRAP~withdrawn	symbol withdrawn, see LRPAP1	Symbol Withdrawn			
HGNC:9	A2MR~withdrawn	symbol withdrawn, see LRP1	Symbol Withdrawn			
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	Approved	IGBS3S, IGB3S	127550	U3KPV4
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase	Approved	A14GALT, Gb3S, P(k)	53947	Q9NPC4
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	Approved	alpha4GnT	51146	Q9UNA3
HGNC:1	A12M1~withdrawn	entry withdrawn	Entry Withdrawn			
HGNC:2	A12M2~withdrawn	entry withdrawn	Entry Withdrawn			
HGNC:3	A12M3~withdrawn	entry withdrawn	Entry Withdrawn			
HGNC:4	A12M4~withdrawn	entry withdrawn	Entry Withdrawn			
HGNC:13666	AAAS	aladin WD repeat nucleoporin	Approved		8086	Q9NRG9
HGNC:12	AABT~withdrawn	entry withdrawn	Entry Withdrawn			
HGNC:13	AAC1~withdrawn	symbol withdrawn, see NAT1	Symbol Withdrawn			
HGNC:14	AAC2~withdrawn	symbol withdrawn, see NAT2	Symbol Withdrawn			
HGNC:21298	AACS	acetoacetyl-CoA synthetase	Approved	FLJ12389, SUR-5, ACSF1	65985	Q86V21
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	Approved		729522	
HGNC:13792	AACT~withdrawn	symbol withdrawn, see SERPINA3	Symbol Withdrawn			
HGNC:17	AADAC	arylacetamide deacetylase	Approved	DAC, CES5A1	13	P22760
HGNC:24427	AADACL2	arylacetamide deacetylase like 2	Approved	MGC72001	344752	Q6P093
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1	Approved		101928142	
HGNC:32037	AADACL3	arylacetamide deacetylase like 3	Approved	OTTHUMG00000001887	126767	Q5VUY0
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	Approved	OTTHUMG00000001889	343066	Q5VUY2
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1	Approved		201651	
HGNC:17929	AADAT	aminoadipate aminotransferase	Approved	KATII, KAT2, KYAT2	51166	Q8N5Z0
HGNC:16881	AAED1	AhpC/TSA antioxidant enzyme domain containing 1	Approved		195827	Q7RTV5
